,0,1,2,3
773,ocean sensors,BENG 186B,Principles of Bioinstrumentation Design,"Biophysical phenomena, transducers, and electronics as related to the design of biomedical instrumentation. Potentiometric and amperometric signals and amplifiers. Biopotentials, membrane potentials, chemical sensors. Electrical safety. Mechanical transducers for displacement, force, and pressure. Temperature sensors. Flow sensors. Light-based instrumentation."
774,ocean sensors,SIO 119,Physics and Chemistry of the Oceans,"Basic physical and chemical processes that influence the biology of the oceans, such as ocean circulation, ocean acidification, carbonate chemistry, trace metal chemistry."
775,operator algebra,CSE 203B,Convex Optimization Formulations and Algorithms,"We study the formulations and algorithms solving convex optimization problems. The topics include convex sets, functions, optimality conditions, duality concepts, gradient descent, conjugate gradient, interior-point methods, and applications. The objective of the course is to provide students the background and techniques for scientific computing and system optimization. Students cannot receive credit for CSE 203B if they have taken either ECE 273 or MATH 245B."
776,operator algebra,MATH 18,Linear Algebra,"Matrix algebra, Gaussian elimination, determinants. Linear and affine subspaces, bases of Euclidean spaces. Eigenvalues and eigenvectors, quadratic forms, orthogonal matrices, diagonalization of symmetric matrices. Applications. Computing symbolic and graphical solutions using MATLAB. Students may not receive credit for both MATH 18 and 31AH."
777,operator algebra,MATH 201A,Basic Topics in Algebra I,"Recommended for all students specializing in algebra. Basic topics include categorical algebra, commutative algebra, group representations, homological algebra, nonassociative algebra, ring theory. May be taken for credit six times with consent of adviser as topics vary."
778,operator algebra,CSE 86,C++ for Java Programmers,"Helps the Java programmer to be productive in the C++ programming environment. Topics include the similarities and differences between Java and C++ with special attention to pointers, operator overloading, templates, the STL, the preprocessor, and the C++ Runtime Environment."
779,operator algebra,MATH 31AH,Honors Linear Algebra,"First quarter of three-quarter honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include real/complex number systems, vector spaces, linear transformations, bases and dimension, change of basis, eigenvalues, eigenvectors, diagonalization. (Credit not offered for both MATH 31AH and 20F.)"
780,optimization,SE 286,Design Optimization for Additive Manufacturing,"This course will cover the following topics: fundamental mathematical concepts of optimization, constrained optimization, sensitivity analysis, topology optimization methods (SIMP and Level Set Topology Optimization), state of the art topology optimization applications and additive manufacturing methods, and future perspectives."
781,optimization,DSC 243,Advanced Optimization,"Linear/quadratic programming, optimization under constraints, gradient descent (deterministic and stochastic), convergence rate of gradient descent, acceleration phenomena in convex optimization, stochastic optimization with large data sets, complexity lower bounds for convex optimization."
782,optimization,MAE 270,Multidisciplinary Design Optimization,"Introduction to engineering design optimization involving multidisciplinary models. Topics covered include local sensitivity analysis, gradient-based optimization, gradient-free optimization, surrogate models, discrete optimization, and multidisciplinary design optimization architectures. Students will apply these methods to a practical design problem of their choosing through a course project."
783,optimization,CSE 257,Search and Optimization,"The course will cover core algorithms for sequential decision-making problems in autonomous systems. Topics include heuristic search, Monte Carlo search, deep reinforcement learning, nonlinear optimization, mixed-integer optimization, and stochastic optimization."
784,optimization,SE 285,Structural Optimization,"Construction of structural design as an optimization problem; mathematical programming for sizing, shape, and topology; linear and nonlinear programming; continuous and discrete optimization methods; Lagrangian function and KKT optimality condition; MATLAB. Use of computer resources."
785,organic chemistry,CHEM 40C,Organic Chemistry III,"Renumbered from CHEM 140C. Continuation of CHEM 40A, Organic Chemistry I and CHEM 40B, Organic Chemistry II. Organic chemistry of biologically important molecules: carboxylic acids, carbohydrates, proteins, fatty acids, biopolymers, natural products. Students may only receive credit for one of the following: CHEM 40C, 40CH, 140C, or 140CH."
786,organic chemistry,CHEM 12,Molecules and Reactions,"Introduction to molecular bonding and structure and chemical reactions, including organic molecules and synthetic polymers. Intended for nonscience majors. Cannot be taken for credit after any organic chemistry course."
787,organic chemistry,SIOB 264,Special Topics in Marine Natural Products Chemistry,"This course provides the foundation for advanced study in the field of marine natural products chemistry. Topics vary from the history of natural products to the organic chemistry of terpenes, alkaloids, acetogenins, and other natural product classes. Varying by topic quarterly, this class is given each quarter and may be repeated."
788,organic chemistry,CHEM 259,Special Topics in Organic Chemistry,"Various advanced topics in organic chemistry. Includes but is not limited to advanced kinetics, advanced spectroscopy, computational chemistry, heterocyclic chemistry, medicinal chemistry, organotransition metal chemistry, polymers, solid-phase synthesis/combinatorial chemistry, stereochemistry, and total synthesis classics."
789,organic chemistry,CHEM 40CH,Honors Organic Chemistry,"Renumbered from CHEM 140CH. Continuation of Organic Chemistry 40B or 40BH, at honors level. Chemistry of carboxylic acids, carbohydrates, proteins, lipids biopolymers, natural products. Emphasis on mechanistic aspects and structure reactivity relationships. Students may only receive credit for one of the following: CHEM 40C, 40CH, 140C, or 140CH."
790,pain,NEUG 265,Mechanisms of Pain,"Anatomical and pharmacological substrates activated following tissue or nerve injury will be discussed. Changes in afferents and spinal cord, including increased expressions of channels and receptors during chronic pain states will be emphasized. Clinical relevance and treatment will be included. (S/U grades only.) (F)"
791,pain,BIOM 255,Molecular Basis of Drug Action and Disease Therapy,"Molecular basis of drug action; basis of disease; drug invention. Topics may include: basic principles, autonomic nervous system; CV, pulmonary, diabetes, cancer therapy, pharmacotherapy of CNS disease (depression, etc.) pain, infections (bacterial, viral, malarial). Students that have taken both 255A and 255B cannot take 255 for credit."
792,pain,NO RESULTS,NO RESULTS,NO RESULTS
793,pain,NO RESULTS,NO RESULTS,NO RESULTS
794,pain,NO RESULTS,NO RESULTS,NO RESULTS
795,painting,VIS 106A,Painting: Image Making,"A studio course focusing on problems inherent in painting—transferring information and ideas onto a two-dimensional surface, color, composition, as well as manual and technical procedures. These concepts will be explored through the use of models, still life, and landscapes."
796,painting,VIS 106C,Painting: Portfolio Projects,"A studio course in painting emphasizing individual creative problems. Class projects, discussions, and critiques will focus on issues related to intention, subject matter, and context."
797,painting,VIS 127D,Early Chinese Painting,"Explore representations of figures and landscapes from the dawn of Chinese painting through the Yuan dynasty, with stress on developments in style and subject matter and relationships to contemporary issues in philosophy, religion, government, society, and culture."
798,painting,VIS 127E,Later Chinese Painting,"Explores major schools and artists of the Ming and Qing periods, including issues surrounding court patronage of professional painters, revitalization of art through reviving ancient styles, commercialization’s challenges to scholar-amateur art, and the influences of the West."
799,painting,VIS 106B,Painting: Practices and Genre,A continuation of VIS 106A. A studio course in which the student will investigate a wider variety of technical and conceptual issues involved in contemporary art practice related to painting.
800,personal finances,MGT 12,Personal Financial Management,"Course examines management of personal financial assets: savings and checking accounts, fixed assets, and credit cards. Budgeting, loan applications, payment terms, and statement reconciliation will be covered as will credit ratings, cash management, compound interest, bank operations, and contract obligations."
801,personal finances,ENG 15,Engineer Your Success,"Engineer Your Success is designed to enhance your success as an engineering student (and later as an engineer) by developing key academic and personal skills. Learn how to study more effectively and uncover how to become the best engineer you can be. This course focuses on academic and personal planning, time management, study skills, and paths to personal growth. Activities include individual and collaborative exercises, personal reflections, and a final project."
802,personal finances,MGT 16,Personal Ethics at Work,"Course examines the ethical foundation for choices individuals make every day both in the workplace and in their private lives, the connection between economic and ethical obligations with examples related to privacy, reporting, whistle-blowing, workplace relationships, confidentiality, and intellectual property."
803,personal finances,LTWR 120,Personal Narrative Workshop,"A workshop designed to encourage regular writing of all forms of personal experience narrative, including journals, autobiography, firsthand biography, and firsthand chronicle. Instructor and students will discuss student work as well as published personal narratives. May be taken for credit up to three times. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department."
804,personal finances,ANTH 280B,Core Seminar in Cultural Anthropology,Core seminar focuses on personal consciousness and cultural experience.
805,phage,BILD 70,Genomics Research Initiative Lab I,Students will isolate bacterial viruses or other organisms from the environment and characterize them by methods including electron microscopy and nucleic acid analysis. The genomic DNA will be purified and sent for sequencing. Restricted to student participants in the Phage Genomics Research program. Renumbered from BIMM 171A. Students may not receive credit for BILD 70 and BIMM 171A. Material lab fees will apply.
806,phage,NO RESULTS,NO RESULTS,NO RESULTS
807,phage,NO RESULTS,NO RESULTS,NO RESULTS
808,phage,NO RESULTS,NO RESULTS,NO RESULTS
809,phage,NO RESULTS,NO RESULTS,NO RESULTS
810,pharmacology,BIMM 118,Pharmacology,"Basics of pharmacology such as drug absorption, distribution, metabolism, and elimination. Concepts in toxicology and pharmacognosy are used to survey the major drug categories."
811,pharmacology,BGGN 218,Principles of Drug Development and Pharmacology,"Introduction to core concepts in drug development along with principles of pharmacokinetics, systems pharmacology, and toxicology. Examples of additional topics include origin and history of pharmacology, advertising versus science, and political influence on access to drugs. Enrollment restricted to MS/PhD students only in the following major codes: BI84, BI87, BI77, BI78."
812,pharmacology,BIOM 294,Pharmacology and Molecular Biology Journal Club,Current literature in molecular pharmacology and molecular biology is reviewed. Two papers are chosen per week for oral presentation by students. Faculty critique the student presentations.
813,pharmacology,BIOM 275,Seminars in Pharmacology,This course includes attendance at seminars in pharmacology and is designed to provoke critical discussion of the presented findings and the scientific approaches in a small group setting.
814,pharmacology,BIOM 295,Pharmacology Research Discussions,"Student, faculty, and fellow discussion groups on research projects. Students are expected to present research findings to fellows, other PhD students, and faculty."
815,photoshop,TDGR 269A,Photoshop I,Course will introduce the basic functions and applications of Photoshop as they may be applied to theatrical design. Emphasis on using Photoshop as an artistic tool.
816,photoshop,TDGR 269B,Photoshop II,Advanced Photoshop techniques will be explored and applied to the creation of multimedia projects.
817,photoshop,COGS 3,Introduction to Computing,"Covers the fundamental concepts that underlie all programming languages and provides an introduction to the essential information about algorithms and data structures. Students design and implement web applications using HTML5, CSS3, JavaScript, and Photoshop. No previous programming experience is required."
818,photoshop,VIS 182A,Advanced Digital Photography Editing,"Approaching digital editing from a theoretical perspective. How does manipulation work with and against claims of truth in photography? How have artists used image manipulation toward conceptual means? Students will learn advanced editing techniques in Photoshop while learning about the political, social, and personal implications of the altered image landscape. Two production-course limitation."
819,photoshop,NO RESULTS,NO RESULTS,NO RESULTS
820,physics,PHYS 8,Physics of Everyday Life,"Examines phenomena and technology encountered in daily life from a physics perspective. Topics include waves, musical instruments, telecommunication, sports, appliances, transportation, computers, and energy sources. Physics concepts will be introduced and discussed as needed employing some algebra. No prior physics knowledge is required."
821,physics,PHYS 4E,Physics for Physics Majors—Quantum Physics,"Continuation of PHYS 4D covering experimental basis of quantum mechanics: Schrodinger equation and simple applications; spin; identical particles, Fermi and Bose distributions, density matrix, pure and mixed states, entangled states and EPR."
822,physics,PHYS 4A,Physics for Physics Majors–Mechanics,"The first quarter of a five-quarter calculus-based physics sequence for physics majors and students with a serious interest in physics. The topics covered are vectors, particle kinematics and dynamics, work and energy, conservation of energy, conservation of momentum, collisions, rotational kinematics and dynamics, equilibrium of rigid bodies, small oscillations, gravitation, and central force motion."
823,physics,PHYS 2DL,Physics Laboratory—Modern Physics,"Experiments to be chosen from refraction, diffraction and interference of microwaves, Hall effect, thermal band gap, optical spectra, coherence of light, photoelectric effect, e/m ratio of particles, radioactive decays, and plasma physics. One hour lecture and three hours laboratory. Program or materials fees may apply."
824,physics,PHYS 233,Collider Physics,"Software, simulation, computing techniques for particle physics; collider physics."
825,physiology,BILD 26,Human Physiology,"Introduction to the elements of human physiology and the functioning of the various organ systems. The course presents a broad, yet detailed, analysis of human physiology, with particular emphasis toward understanding disease processes. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 26 after receiving credit for BIPN 100."
826,physiology,CHEM 13,Chemistry of Life,"Introduction to biochemistry for nonscience majors. Topics include carbohydrates, lipids, amino acids and proteins, with an introduction to metabolic pathways in human physiology."
827,physiology,BGGN 259,Quantitative Physiology,"This course focuses on quantitative biology above the single cell level, from multicellular interactions to organs, organisms, and their physiology. Topics to be addressed include collective cell migration, developmental biology, organ systems, the microbiome, microbial communities, and embryology. Quantitative methods for data collection and analysis will be considered, along with use of mathematical and biophysical modeling. S/U grades only. Enrollment restricted to PhD students in the following major codes: BI77, BI78, BI83, BS75, BS80, CH75, CH81, BE75, BE80, BF78, PY75, PY76, PY81. May be taken for credit up to two times."
828,physiology,BENG 230C,Cardiovascular Physiology,"Physical concepts of behavior of heart, large blood vessels, vascular beds in major organs and the microcirculation. Physical and physiological principles of blood flow, blood pressure, cardiac work, electrophysiology of the heart. Special vascular beds, including their biological and hemodynamic importance. Integration through nervous and humoral controls."
829,physiology,SIOB 281,Marine Physiology,"Biochemical and physiological mechanisms of adaptation of organisms to the marine environment. Special emphasis is on biological responses to temperature, salinity, carbon dioxide, pH and bicarbonate levels."
830,plant,BIEB 126,Plant Ecology,"This course begins with an introduction to plant population biology including whole-plant growth and physiology. We then focus on three classes of ecological interactions: plant-plant competition, plant-herbivore coevolution, and plant reproductive ecology including animal pollination and seed dispersal."
831,plant,BICD 124,Plant Innate Immunity,"Plant immunity protects against pathogens and enables symbioses. This course explores the agents of plant disease, the genetics of inherited immunity, mechanisms of pathogenesis and defense, the coordination of plant immunity by plant hormones, and the regulation of symbioses."
832,plant,BICD 120,Molecular Basis of Plant Development,"Introduction to the biology of plants with a particular focus on the underlying genetic and molecular mechanisms controlling plant development. Topics include the role of plant hormones and stem cells in the formation of embryos, roots, flowers, and fruit."
833,plant,BGGN 227,Graduate Topics in Plant Biology,"This course covers advanced topics in plant biology in the areas of molecular genetic developmental, and physiological biology. We will discuss plant-microbe interactions, transposable elements, protein trafficking, ion transport, and organ development. The format of this section includes lectures and discussion of selected papers."
834,plant,BICD 123,Plant Molecular Genetics and Biotechnology Laboratory,"Techniques in plant cell and tissue culture, plant transformation, genetic selection and screening of mutants, host pathogen interactions, gene regulation, organelle isolation, membrane transport. Attendance at the first lecture/lab is required. Nonattendance may result in the student being dropped from the course roster. Recommended preparation: BICD 120. Material lab fees will apply."
835,poisson,MATH 180B,Introduction to Stochastic Processes I,"Random vectors, multivariate densities, covariance matrix, multivariate normal distribution. Random walk, Poisson process. Other topics if time permits."
836,poisson,MATH 11,Calculus-Based Introductory Probability and Statistics,"Events and probabilities, conditional probability, Bayes’ formula. Discrete and continuous random variables: mean, variance; binomial, Poisson distributions, normal, uniform, exponential distributions, central limit theorem. Sample statistics, confidence intervals, hypothesis testing, regression. Applications. Introduction to software for probabilistic and statistical analysis. Emphasis on connections between probability and statistics, numerical results of real data, and techniques of data analysis."
837,poisson,CLRE 265,Advanced Regression Methods,"This course will expose and familiarize students with important advanced statistical methods such as methods for numeric outcomes (Linear regression), nonlinear regression, methods for binary outcomes (Logistic regression), methods for counts (Poisson regression) and categorical outcomes (Log-linear models)."
838,poisson,MAE 290B,Numerical Methods for Differential Equations,"Numerical solution of differential equations in mathematical physics and engineering, ordinary and partial differential equations. Linear and nonlinear hyperbolic parabolic, and elliptic equations, with emphasis on prototypical cases, the convection-diffusion equation, Laplace’s and Poisson equation. Finite difference methods."
839,poisson,PHYS 200A,Theoretical Mechanics I,"Review of Lagrangian mechanics: calculus of variations, Noether’s theorem, constraints, central forces, coupled oscillations. Continuum mechanics: strings and membranes, Sturm-Liouville theory, dispersion. Hamiltonian mechanics: equations of motion, Poisson brackets, canonical transformations, Hamilton-Jacobi theory, action-angle variables, adiabatic invariants."
840,projects,CAT 24,Introduction to Special Projects/Topics,"Lower-division students are introduced to projects/topics exploring the interplay of culture, art, and technology. Topics and projects will vary. May be taken for credit two times."
841,projects,PHYS 124,Laboratory Projects,A laboratory-lecture-project course featuring creation of an experimental apparatus in teams of about two. Emphasis is on electronic sensing of the physical environment and actuating physical responses. The course will use a computer interface such as the Arduino. PHYS 124 was formerly numbered PHYS 120B. Program or materials fees may apply.
842,projects,TDGE 199,Special Projects,"Qualified students will pursue a special project in theatre history, problems of production and performance, and similarly appropriate topics."
843,projects,LIGN 172,Psycholinguistics Laboratory Projects,"A project-oriented laboratory course (research) in which students learn and use experimental design, and are guided to develop their own ideas and tools, along with using state-of-the-art instruments to investigate a linguistic problem of current interest, under the direction of the instructor. A range of current topics in psycholinguistics is available including sentence and discourse processing, word comprehension and production, and cross-linguistic research."
844,projects,VIS 105C,Drawing: Portfolio Projects,"A studio course in drawing, emphasizing individual creative problems. Class projects, discussions, and critiques will focus on issues related to intention, subject matter, and context."
845,python coding,VIS 141A,Computer Programming for the Arts I,"Introduces external APIs currently of interest in the arts, extending a common programming language such as C, C++, Python, or Java, and the basics of TCP/IP networking. Students gain API fluency through planning and coding software or software mediated art projects. Program or materials fees may apply. Two production-course limitation."
846,python coding,ECE 252A,Speech Compression,"Speech signals, production and perception, compression theory, high rate compression using waveform coding (PCM, DPCM, ADPCM, . . .), DSP tools for low rate coding, LPC vocoders, sinusoidal transform coding, multiband coding, medium rate coding using code excited linear prediction (CELP). Recommended preparation: ECE 161A."
847,python coding,ECE 256,Fundamentals of Image and Video Compression,"This course provides the theoretical background to image and video compression. Topics cover basic coding tools such as entropy coding, transform, and quantization as well as advanced coding methods: motion estimation and compensation, error resilient coding and scalable coding. Recommended preparation: MATLAB programming."
848,python coding,COGS 18,Introduction to Python,"This class will teach fundamental Python programming skills and practices, including the “Zen of Python.” Students will focus on scientific computing and learn to write functions and tests, as well as how to debug code using the Jupyter Notebook programming environment. Students may receive credit for one of the following: BILD 62, COGS 18, CSE 8A, or CSE 6R. Recommended preparation: students with limited computing experience may take COGS 3."
849,python coding,ECE 255B,Source Coding,"Theory and practice of lossy source coding, vector quantization, predictive and differential encoding, universal coding, source-channel coding, asymptotic theory, speech and image applications. Students that have taken 255BN cannot take 255B for credit. Recommended preparation: ECE 250, and 259A or 259AN."
850,python for beginners,BILD 62,Introduction to Python for Biologists,"Introductory class for biology students interested in using Python for data analysis and visualization. Course covers the basics of programming in Python and introduces students to various implementations of Python analyses for biological data such as time series and images. Students will use their own laptops. Students may receive credit for one of the following: BILD 62, COGS 18, CSE 6R, or CSE 8A."
851,python for beginners,DSC 207R,Python for Data Science,"Essential tools for data science including the basic process of data science; Python and Jupyter notebooks; finding answers within large datasets by using Python to import data, explore it, analyze it, learn from it, visualize it, and generate easily shareable reports. An applied understanding of how to manipulate and analyze uncurated datasets; basic statistical analysis and machine learning methods; and how to effectively visualize results. This is a distance education course."
852,python for beginners,DSE 200,Python for Data Analysis,The goal of this course is to bring students with diverse backgrounds and experience to a common level of competency in programming in the context of complex and noisy data. Solid competency in Python programming provides its owner with autonomy and independence in their work. Introduction to object-oriented programming using Python. Regular expressions. NumPy and numerical processing. IPython and plotting. Data analysis using PANDAS. Web page scraping using Scrapy. The Twitter API. NLTK.
853,python for beginners,COGS 18,Introduction to Python,"This class will teach fundamental Python programming skills and practices, including the “Zen of Python.” Students will focus on scientific computing and learn to write functions and tests, as well as how to debug code using the Jupyter Notebook programming environment. Students may receive credit for one of the following: BILD 62, COGS 18, CSE 8A, or CSE 6R. Recommended preparation: students with limited computing experience may take COGS 3."
854,python for beginners,ECE 143,Programming for Data Analysis,"This course covers the fundamentals of using the Python language effectively for data analysis. Students learn the underlying mechanics and implementation specifics of Python and how to effectively utilize the many built-in data structures and algorithms. The course introduces key modules for data analysis such as Numpy, Pandas, and Matplotlib. Participants learn to leverage and navigate the vast Python ecosystem to find codes and communities of individual interest."
855,quantitative finance,USP 5,Introduction to the Real Estate and Development Process,"This course introduces students to the terminology, concepts, and basic practices of real estate finance and development. It surveys real estate law, appraisal, marketing, brokerage, management, finance, investment analysis, and taxation."
856,quantitative finance,MGT 408,Finance,"Through lecture and online delivery, this course will focus on basic business financial concepts with particular attention to challenges of finance in start-up and small- and medium-sized enterprises. Letter grades only."
857,quantitative finance,MAE 05,Quantitative Computer Skills,"Introductory course for nonengineering majors. Use of computers in solving problems; applications from life sciences, physical sciences, and engineering. Students run existing computer programs and complete some programming in BASIC."
858,quantitative finance,MGT 289,Topics in Financial Economics Research,"This course will cover a rotating set of topics, chosen by the instructor, to introduce students to cutting-edge research in various areas of financial economics. Possible areas include dynamic (continuous-time) asset pricing theory, empirical and theoretical corporate finance, macro-finance, household and intermediary finance, and market microstructure and informational economics."
859,quantitative finance,ECON 270,Finance—Core Asset Pricing,Theoretical and empirical issues in finance. (Previously numbered ECON 214A.)
860,racism,ETHN 103,Environmental Racism,"This course will examine the concept of environmental racism, the empirical evidence of its widespread existence, and the efforts by government, residents, workers, and activists to combat it. We will examine those forces that create environmental injustices in order to understand its causes as well as its consequences. Students are expected to learn and apply several concepts and social scientific theories to the course material."
861,racism,ANTH 21,Race and Racisms,"Why does racism still matter? How is racism experienced in the United States and across the globe? With insights from the biology of human variation, archaeology, colonial history, and sociocultural anthropology, we examine how notions of race and ethnicity structure contemporary societies."
862,racism,COGR 252,Race and Racism,"Seminar focuses on race as a social, phenomenal, historical, and political formation. The seminar will address the historical emergence and theorization of race and the contemporary ways in which race/racism is a modern principle of social division, exclusion, and political mobilization."
863,racism,PSYC 131,"Scientific Racism: Genetics, Intelligence, and Race","This course provides a background into the origins and implementation of scientific racism, especially since the nineteenth century. Topics may include race/ethnicity and genetics, intelligence, nationalism, criminality, human performance, and morphometry. Open to the following Department of Psychology majors only: PC25, PC26, PC28, PC29, PC30, PC31, PC32, PC33, PC34, PC35."
864,racism,SOCI 188J,Change in Modern South Africa,"Using sociological and historical perspectives, this course examines the origins and demise of apartheid and assesses the progress that has been made since 1994, when apartheid was officially ended. Contrasts of racism in South Africa and the United States."
865,real estate,MGTF 408,Real Estate Finance,"Examination of real estate capital markets, both debt and equity. Covered topics include real estate valuation, real options applied to real estate, real estate equity markets, and the place of real estate within a diversified investor’s portfolio. Letter grades only."
866,real estate,USP 5,Introduction to the Real Estate and Development Process,"This course introduces students to the terminology, concepts, and basic practices of real estate finance and development. It surveys real estate law, appraisal, marketing, brokerage, management, finance, investment analysis, and taxation."
867,real estate,MGT 158,Real Estate and the Tech Sector,"Introduction to the emerging real estate tech sector; newly available datasets and technologies are transforming the real estate sector; introduction of quantitative methods for analyzing real estate and urban trends; utilizing large datasets and software in making optimal decisions from the perspective of buyers, sellers, real estate agents and brokers, developers, and regulators."
868,real estate,USP 25,Real Estate and Development Principles and Analysis,"This course will analyze the concepts related to the planning, development, leasing, valuation, and financing of real estate. There will be special emphasis on critical thinking and analytical decision-making by solving real estate problems primarily using Excel and Argus."
869,real estate,USP 152A,Real Estate Development Finance and Investment,"This course investigates the institutions, instruments, and structures by which investment in real estate is financed. It reviews capital markets, the sources and uses of real estate funds, and the role of government in real estate finance. Renumbered from USP 152. Students may not receive credit for USP 152A and USP 152."
870,recommender systems,MGTA 461,Web Mining and Recommender Systems,"A graduate course devoted to current methods for recommender systems, data mining, and predictive analytics."
871,recommender systems,DSC 256R,Data Mining on the Web,"Application of machine learning and data mining techniques, recommender systems, data mining, and predictive analytics. Building models to understand data in order to gain insights and make predictions. Covered topics include regression; classification; unsupervised learning and dimensionality reduction; recommender systems; text mining; social network analysis; data visualization; and online advertising. This course is a distance education course."
872,recommender systems,CSE 258,Recommender Systems and Web Mining,"Current methods for data mining and predictive analytics. Emphasis is on studying real-world data sets, building working systems, and putting current ideas from machine learning research into practice. Recommended preparation: No previous background in machine learning is required, but students should be comfortable with programming (all example code will be in Python), and with basic optimization and linear algebra."
873,recommender systems,CSE 158,Recommender Systems and Web Mining,"Current methods for data mining and predictive analytics. Emphasis is on studying real-world data sets, building working systems, and putting current ideas from machine learning research into practice."
874,recommender systems,CSE 158R,Recommender Systems and Web Mining,"Current methods for data mining and predictive analytics. Emphasis is on studying real-world data sets, building working systems, and putting current ideas from machine learning research into practice."
875,remote,SIOG 236,Satellite Remote Sensing,"Satellite remote sensing provides global observations of Earth to monitor environmental changes in land, oceans, and ice. Overview, physical principles of remote sensing, including orbits, electromagnetic radiation, diffraction, electro-optical, and microwave systems. Weekly labs explore remote sensing data sets. Graduate students will also be required to write a term paper and do an oral presentation."
876,remote,SIO 135,Satellite Remote Sensing,"Satellite remote sensing provides global observations of Earth to monitor environmental changes in land, oceans, and ice. Overview, physical principles of remote sensing, including orbits, electromagnetic radiation, diffraction, electro-optical, and microwave systems. Weekly labs explore remote sensing data sets. Graduate students will also be required to write a term paper and do an oral presentation."
877,remote,GPEC 444,Advanced GIS and Remote Sensing,"Students will learn to design and maintain geospatial databases, validate the topology of a dataset, and produce clear and informative maps and reports. Part two will be dedicated to principles of remote sensing and to analysis of satellite imagery: geospatial database design and maintenance, topology validation and topological rules, the Network analyst extension, the surface tool set, basic concepts of remote sensing, and introduction to Google Earth Engine UI and Google Earth Engine API. May not receive credit for GPEC 444 and IRGN 490 with the subtitles: “Advanced GIS Spatial Analysis” or “Advanced GIS and Remote Sensing.” May be coscheduled with GPEC 244. GPEC 443 or the equivalent training in GIS is recommended."
878,remote,SIOC 237B,Ocean Color Remote Sensing,Overview of ocean color satellite missions. Concepts in radiometry. Inherent and apparent optical properties. Radiative transfer equation. Solar radiation and elements of atmospheric optics. Propagation of light across the sea surface and within the ocean. Light absorption and scattering by seawater. Water-leaving radiance and remote-sensing reflectance. Ocean color algorithms and applications. Recommended preparation: basic physics and differential calculus.
879,remote,ETHN 125R,Remote—Asian American History,"This distance learning course explores historical issues in Asian American history, focusing on major topics such as immigration, colonization, war, community, social movements, and politics. We use sources such as scholarly writing, primary documents, cultural productions, and creative work to inform our analysis. Assignments are designed to provoke active discussion and lead to a critical understanding of the links between history and our present-day political and socioeconomic context. Students may receive credit for one of the following: ETHN 125R or ETHN 125."
880,research communication,COGR 296,Communication Research as an Interdisciplinary Activity,"A course that introduces students to the interdisciplinary nature of the field of communication research as represented by the work of faculty in the Department of Communication. Through faculty research, students are presented with concrete examples of communication research theory and practice that can provide them with insights for conducting their own research projects."
881,research communication,ECE 293,Graduate Seminar in Communication Theory and Systems,Weekly discussion of current research topics in communication theory and systems. (S/U grades only.)
882,research communication,COGR 201B,Ethnographic Methods for Communication Research,"A supervised and coordinated group project will allow students to develop competence in a variety of ethnographic approaches to communication. Subjects covered include choosing a fieldwork site, setting or process for participation; entry and development of relationships; techniques of observation, interviewing, note taking, and transcription. Course may also include photography and video as research tools. All participant observation and interviewing strategies fall under the review of the Committee on Human Subjects."
883,research communication,COGR 201D,Historical Methods for Communication Research,"Different approaches to conducting historical research in communication. Such approaches may include the social history of communication technology; structuralist and poststructuralist accounts of language, media, and collective memory; and new historicist treatments of cultural history. Sources, documentation, and the nature of argument from historical evidence are emphasized."
884,research communication,COGR 294,The History of Communication Research,Intellectual history of the field of communication studies from Robert Park to the present. Explication and assessment of major research approaches and classic studies representing both empirical and critical traditions.
885,robotics,MAE 204,Robotics,"This course covers topics in robotics, dynamics, kinematics, mechatronics, control, locomotion, and manipulation."
886,robotics,CSE 276D,Healthcare Robotics,"Robotics has the potential to improve well-being for millions of people, support care givers, and aid the clinical workforce. This course brings together engineers, clinicians, and end users to explore this exciting new field. It is project-based, interactive, and hands on, and involves working closely with stakeholders to develop prototypes that solve real-world problems. Students will explore the latest research in healthcare robotics, human-robot teaming, and health design. JSOE students should be comfortable building and experimenting within their area of expertise (e.g., CSE, software development, MAE, rapid prototyping). Students with clinical backgrounds should be familiar with translational research methods. Students may not receive credit for CSE 276D and CSE 291 (H00) taught spring 2017 with the same subtitle. Program or materials fees may apply."
887,robotics,MAE 249,Soft Robotics,"Roboticists have begun to explore the design of automated systems using soft materials (e.g., elastomers, gels, fluids) with the goal of achieving the versatility and robustness of biological organisms. This course provides a survey of topics important for the design, analysis, and control of soft robotics, including modeling (e.g., nonlinear elasticity), actuation (e.g., fluidic elastomer actuators), sensing (e.g., liquid metal sensors), and design optimization (e.g., using artificial evolution)."
888,robotics,ECE 295,Graduate Seminar in Signal and Image Processing/Robotics and Control Systems,Weekly discussion of research topics in signal and image processing of robotics and control systems. (S/U grades only.)
