Query,Class Code,Course Title,Course Description,Relevance,Ranking (position)
photoshop,TDGR 269B,Photoshop II,Advanced Photoshop techniques will be explored and applied to the creation of multimedia projects.,1,2
photoshop,COGS 3,Introduction to Computing,"Covers the fundamental concepts that underlie all programming languages and provides an introduction to the essential information about algorithms and data structures. Students design and implement web applications using HTML5, CSS3, JavaScript, and Photoshop. No previous programming experience is required.",0,3
photoshop,VIS 182A,Advanced Digital Photography Editing,"Approaching digital editing from a theoretical perspective. How does manipulation work with and against claims of truth in photography? How have artists used image manipulation toward conceptual means? Students will learn advanced editing techniques in Photoshop while learning about the political, social, and personal implications of the altered image landscape. Two production-course limitation.",1,4
photoshop,NO RESULTS,NO RESULTS,NO RESULTS,0,5
pharmacology,BIMM 118,Pharmacology,"Basics of pharmacology such as drug absorption, distribution, metabolism, and elimination. Concepts in toxicology and pharmacognosy are used to survey the major drug categories.",1,1
pharmacology,BGGN 218,Principles of Drug Development and Pharmacology,"Introduction to core concepts in drug development along with principles of pharmacokinetics, systems pharmacology, and toxicology. Examples of additional topics include origin and history of pharmacology, advertising versus science, and political influence on access to drugs. Enrollment restricted to MS/PhD students only in the following major codes: BI84, BI87, BI77, BI78.",1,2
pharmacology,BIOM 294,Pharmacology and Molecular Biology Journal Club,Current literature in molecular pharmacology and molecular biology is reviewed. Two papers are chosen per week for oral presentation by students. Faculty critique the student presentations.,1,3
pharmacology,BIOM 275,Seminars in Pharmacology,This course includes attendance at seminars in pharmacology and is designed to provoke critical discussion of the presented findings and the scientific approaches in a small group setting.,1,4
pharmacology,BIOM 295,Pharmacology Research Discussions,"Student, faculty, and fellow discussion groups on research projects. Students are expected to present research findings to fellows, other PhD students, and faculty.",1,5
painting,VIS 106A,Painting: Image Making,"A studio course focusing on problems inherent in painting—transferring information and ideas onto a two-dimensional surface, color, composition, as well as manual and technical procedures. These concepts will be explored through the use of models, still life, and landscapes.",1,1
painting,VIS 106C,Painting: Portfolio Projects,"A studio course in painting emphasizing individual creative problems. Class projects, discussions, and critiques will focus on issues related to intention, subject matter, and context.",1,2
painting,VIS 127D,Early Chinese Painting,"Explore representations of figures and landscapes from the dawn of Chinese painting through the Yuan dynasty, with stress on developments in style and subject matter and relationships to contemporary issues in philosophy, religion, government, society, and culture.",1,3
painting,VIS 127E,Later Chinese Painting,"Explores major schools and artists of the Ming and Qing periods, including issues surrounding court patronage of professional painters, revitalization of art through reviving ancient styles, commercialization’s challenges to scholar-amateur art, and the influences of the West.",1,4
painting,VIS 106B,Painting: Practices and Genre,A continuation of VIS 106A. A studio course in which the student will investigate a wider variety of technical and conceptual issues involved in contemporary art practice related to painting.,1,5
organic chemistry,CHEM 40C,Organic Chemistry III,"Renumbered from CHEM 140C. Continuation of CHEM 40A, Organic Chemistry I and CHEM 40B, Organic Chemistry II. Organic chemistry of biologically important molecules: carboxylic acids, carbohydrates, proteins, fatty acids, biopolymers, natural products. Students may only receive credit for one of the following: CHEM 40C, 40CH, 140C, or 140CH.",1,1
organic chemistry,CHEM 12,Molecules and Reactions,"Introduction to molecular bonding and structure and chemical reactions, including organic molecules and synthetic polymers. Intended for nonscience majors. Cannot be taken for credit after any organic chemistry course.",1,2
organic chemistry,SIOB 264,Special Topics in Marine Natural Products Chemistry,"This course provides the foundation for advanced study in the field of marine natural products chemistry. Topics vary from the history of natural products to the organic chemistry of terpenes, alkaloids, acetogenins, and other natural product classes. Varying by topic quarterly, this class is given each quarter and may be repeated.",1,3
organic chemistry,CHEM 259,Special Topics in Organic Chemistry,"Various advanced topics in organic chemistry. Includes but is not limited to advanced kinetics, advanced spectroscopy, computational chemistry, heterocyclic chemistry, medicinal chemistry, organotransition metal chemistry, polymers, solid-phase synthesis/combinatorial chemistry, stereochemistry, and total synthesis classics.",1,4
organic chemistry,CHEM 40CH,Honors Organic Chemistry,"Renumbered from CHEM 140CH. Continuation of Organic Chemistry 40B or 40BH, at honors level. Chemistry of carboxylic acids, carbohydrates, proteins, lipids biopolymers, natural products. Emphasis on mechanistic aspects and structure reactivity relationships. Students may only receive credit for one of the following: CHEM 40C, 40CH, 140C, or 140CH.",1,5
optimization,SE 286,Design Optimization for Additive Manufacturing,"This course will cover the following topics: fundamental mathematical concepts of optimization, constrained optimization, sensitivity analysis, topology optimization methods (SIMP and Level Set Topology Optimization), state of the art topology optimization applications and additive manufacturing methods, and future perspectives.",1,1
optimization,DSC 243,Advanced Optimization,"Linear/quadratic programming, optimization under constraints, gradient descent (deterministic and stochastic), convergence rate of gradient descent, acceleration phenomena in convex optimization, stochastic optimization with large data sets, complexity lower bounds for convex optimization.",1,2
optimization,MAE 270,Multidisciplinary Design Optimization,"Introduction to engineering design optimization involving multidisciplinary models. Topics covered include local sensitivity analysis, gradient-based optimization, gradient-free optimization, surrogate models, discrete optimization, and multidisciplinary design optimization architectures. Students will apply these methods to a practical design problem of their choosing through a course project.",1,3
optimization,CSE 257,Search and Optimization,"The course will cover core algorithms for sequential decision-making problems in autonomous systems. Topics include heuristic search, Monte Carlo search, deep reinforcement learning, nonlinear optimization, mixed-integer optimization, and stochastic optimization.",1,4
optimization,SE 285,Structural Optimization,"Construction of structural design as an optimization problem; mathematical programming for sizing, shape, and topology; linear and nonlinear programming; continuous and discrete optimization methods; Lagrangian function and KKT optimality condition; MATLAB. Use of computer resources.",1,5
ocean,SIO 90,Undergraduate Seminar,Perspectives on ocean sciences. This seminar introduces students to exciting and current research topics in ocean science as presented by faculty and researchers at Scripps Institution of Oceanography. Formerly ERTH 90.,1,1
ocean,SIO 119,Physics and Chemistry of the Oceans,"Basic physical and chemical processes that influence the biology of the oceans, such as ocean circulation, ocean acidification, carbonate chemistry, trace metal chemistry.",1,2
ocean,SIOC 237B,Ocean Color Remote Sensing,Overview of ocean color satellite missions. Concepts in radiometry. Inherent and apparent optical properties. Radiative transfer equation. Solar radiation and elements of atmospheric optics. Propagation of light across the sea surface and within the ocean. Light absorption and scattering by seawater. Water-leaving radiance and remote-sensing reflectance. Ocean color algorithms and applications. Recommended preparation: basic physics and differential calculus.,1,3
ocean,SIO 178,Geophysical Fluid Dynamics,"This course provides an introductory look at physical principles governing ocean currents and atmospheric flow. Topics may include large-scale circulation, ocean eddies, atmospheric storms systems, coastal upwelling, equatorial dynamics, and internal waves.",1,4
ocean,SIOG 264,Ocean Acidification,"This course covers the fundamentals of ocean acidification including the chemical background, past and future changes in ocean chemistry, biological and biogeochemical consequences including organism and ecosystem function, biodiversity, biomineralization, carbon dissolution, and the cycling of carbon and nitrogen in the oceans. May be coscheduled with SIO 143.",1,5
natural language processing,DSC 258R,Natural Language Processing,"Introduction to classical methods that are useful in analyzing and mining real-world text data, including tokenization, stemming and lemmatization, bag-of-words classification, word embedding, language models, sentiment analysis, part-of-speech tagging, named entity recognition, and sequence-to-sequence models. Consideration of possible biases, privacy, and societal implications in these models. This is a distance education course.",1,1
natural language processing,DSC 252,Statistical Natural Language Processing,"Diving deep to the classical NLP pipeline: tokenization, stemming, lemmatization, part-of-speech tagging, named entity recognition, parsing, and machine translation. Finite-state transducer, context-free grammar, hidden Markov models (HMM), and conditional random fields (CRF) will be covered in detail.",1,2
natural language processing,CSE 256,Statistical Natural Language Processing,"An introduction to modern statistical approaches to natural language processing: part of speech tagging, word sense disambiguation and parsing, using Markov models, hidden Markov models, and probabilistic context-free grammars. Recommended preparation: LIGN 165, LIGN 245, CSE 151, CSE 250A, or CSE 254.",1,3
natural language processing,LING 256,Statistical Natural Language Processing,"An introduction to modern statistical approaches to natural language processing: part of speech tagging, word sense disambiguation and parsing, using Markov models, hidden Markov models, and probabilistic context-free grammars. Recommended preparation: LIGN 165, LIGN 245, CSE 151, CSE 250A, or CSE 254.",1,4
natural language processing,LIGN 256,Statistical Natural Language Processing,"(Same as CSE 256.) Introduction to modern statistical approaches to natural language processing: part-of-speech tagging, word-sense disambiguation and parsing, using Markov models, hidden Markov models, and probabilistic context-free grammars. Recommended",1,5
neuroscience,VIS 32,"Art, Design, and the Brain","Neuroscience is a fast-growing biology field, with projects such as the White House BRAIN Initiative and the Allen Brain Atlas and new areas such as neuroeconomics, neurophilosophy, and neuroaesthetics. This lecture course considers interactions between neuroscience and art, primarily focusing on studies of how art is represented in the brain. By considering perception, emotion, memory, and creativity, we approach scientific understandings of art and design.",1,1
neuroscience,COGS 138,Neural Data Science,"Project-based course in which students will use computational notebooks to perform exploratory data analyses and to test hypotheses in large neuroscience datasets, including the differences between unique neuron types, leveraging text mining of the neuroscience literature, and human neuroimaging analyses.",1,2
neuroscience,BGGN 249A,Basic Neuroscience,"(Cross-listed with NEU 200A-B-C.) These courses are designed for graduate students in the neurosciences and other departments that are part of the interdisciplinary program (i.e., Biology, Cognitive Science). These courses have been designed to cover as much basic neuroscience as possible in three quarters of study. These are required courses for all first-year neurosciences graduate students.",1,3
neuroscience,BGGN 249B,Basic Neuroscience,"(Cross-listed with NEU 200A-B-C.) These courses are designed for graduate students in the neurosciences and other departments that are part of the interdisciplinary program (i.e., Biology, Cognitive Science). These courses have been designed to cover as much basic neuroscience as possible in three quarters of study. These are required courses for all first-year neurosciences graduate students.",1,4
neuroscience,BGGN 249C,Basic Neuroscience,"(Cross-listed with NEU 200A-B-C.) These courses are designed for graduate students in the neurosciences and other departments that are part of the interdisciplinary program (i.e., Biology, Cognitive Science). These courses have been designed to cover as much basic neuroscience as possible in three quarters of study. These are required courses for all first-year neurosciences graduate students.",1,5
neural networks,CSE 151B,Deep Learning,"(Formerly CSE 154.) This course covers the fundamentals of neural networks. We introduce linear regression, logistic regression, perceptrons, multilayer networks and back-propagation, convolutional neural networks, recurrent networks, and deep networks trained by reinforcement learning. Students may receive credit for one of the following: CSE 151B, CSE 154, or COGS 181.",1,1
neural networks,COGS 181,Neural Networks and Deep Learning,"This course will cover the basics about neural networks, as well as recent developments in deep learning including deep belief nets, convolutional neural networks, recurrent neural networks, long-short term memory, and reinforcement learning. We will study details of the deep learning architectures with a focus on learning end-to-end models for these tasks, particularly image classification. Students may receive credit for one of the following: COGS 181, CSE 151B, or CSE 154.",1,2
neural networks,DSC 250,Advanced Data Mining,"Graph mining and basic text analysis (including keyphrase extraction and generation), set expansion and taxonomy construction, graph representation learning, graph convolutional neural networks, heterogeneous information networks, label propagation, and truth findings.",1,3
neural networks,LIGN 167,Deep Learning for Natural Language Understanding,"An introduction to neural network methods for analyzing linguistic data. Basic neural network architectures and optimization through backpropagation and stochastic gradient descent. Word vectors and recurrent neural networks, and their uses and limitations in modeling the structure of natural language.",1,4
neural networks,CSE 259,Seminar in Artificial Intelligence,"A weekly meeting featuring local (and occasional external) speakers discussing their current research in artificial intelligence neural networks, and genetic algorithms. (S/U grades only.)",1,5
native american,LIGN 8,Languages and Cultures in America,"Language in American culture and society. Standard and nonstandard English in school, media, pop culture, politics; bilingualism and education; cultural perception of language issues over time; languages and cultures in the “melting pot,” including Native American, Hispanic, African American, Deaf.",1,1
native american,ETHN 158,Native American Intellectuals in the Twentieth Century,"This course examines Native American intellectuals’ work. It provides a broad historical perspective on the development of twentieth-century Native American political thinking and discusses the recurring issues, problems, and themes inherent to Indian-white relations, as seen from Indian perspectives.",1,2
native american,ETHN 111,Native American Literature,"This course analyzes Native American written and oral traditions. Students will read chronicles and commentaries on published texts, historic speeches, trickster narratives, oratorical and prophetic tribal epics, and will delve into the methodological problems posed by tribal literature in translation.",1,3
native american,RELI 159GS,Native Religions,This course explores Native American ways of life and religions; it also examines the impact of European invasion and colonization.,1,4
native american,LTWL 165,Literature and the Environment,"With primarily American (and a couple of English) readings, the course inquires into the relation of human and nonhuman nature. Topics include wilderness, animals, Native American thought, women in nature, description as a kind of writing, the spirituality of place.",0,5
national security,POLI 142J,National Security Strategy,"A survey of American strategies for national defense. Topics may include deterrence, coercive diplomacy, limited war, and unconventional warfare.",1,1
national security,POLI 243,International Security,A colloquium surveying the major theoretical controversies in the study of international and national security.,1,2
national security,POLI 142N,American Defense Policy,An introduction to analytic techniques for assessing policy options in the field of national security.,1,3
national security,POLI 142I,National and International Security,A survey of theories of defense policies and international security.,1,4
national security,GPPS 443,U,"The course provides a practitioner’s perspective on the methodologies of and influences on decision making in the US national security apparatus. It provides the skills for analyzing the interactions among the executive, legislative, interagency stakeholders, the media, intelligence community, and the military and its supporting industrial complex. We will look at decisional influences and biases that led to key national security decisions, beginning with the 1947 National Security Act. Students may not earn credit for both GPPS 443 and GPGN 490 with the same title.",1,5
movies,COMM 103F,CM: How to Read a Film,"This course increases our awareness of the ways we interpret or make understanding from movies to enrich and increase the means by which one can enjoy and comprehend movies. We will talk about movies and explore a range of methods and approaches to film interpretation. Readings will emphasize major and diverse theorists, including Bazin, Eisenstein, Cavell, and Mulvey.",1,1
movies,TDTR 20,Dance on Film,"The study of dance on film and video, the evolution of the creation, filming, editing, and production of dance for the camera. Major dance film works will be analyzed and discussed from choreography in the movies to dances made for film.",1,2
movies,SOCI 150,Madness and the Movies,"Hollywood has had an ongoing obsession with mental illness. This course will examine a number of important or iconic films on this subject. By examining them against a background provided by relevant scholarly materials, we shall develop a critical perspective on these cultural artifacts.",1,3
movies,COMM 126,Children and Media,"A course that analyzes the influence of media on children’s behavior and thought processes. The course takes a historical perspective, beginning with children’s print literature, encompassing movies, music, television, and computers. Students will study specific examples of media products intended for children and apply various analytic techniques, including content analysis and experimentation to these materials.",1,4
movies,ETHN 163F,Playing Indian: Native American and First Nations Cinema,"(Cross-listed with TDGE 131.) This course examines recent movies by Native American/First Nations artists that labor to deconstruct and critique reductive stereotypes about America’s First Peoples in Hollywood cinema. Carving spaces of “visual sovereignty” (Raheja), these films propose complex narratives and characterizations of indigeneity. Students may not receive credit for TDGE 131, TDGE 131R, ETHN 163FR, and ETHN 163F.",1,5
modern art,VIS 22,Formations of Modern Art,"A wide-ranging survey introducing the key aspects of global art and criticism in the nineteenth and twentieth centuries. The course will comparatively examine formations of modernism and modernity within and across a variety of aesthetic traditions in Africa, Asia, Europe, Latin America, North America, and Oceania.",1,1
modern art,VIS 2,Introduction to Art Making: Motion and Time-Based Art,"An introduction to art making utilizing the transaction between people, objects, situations, and media. Includes both critical reflection on relevant aspects of modern and contemporary art practices (Marina Abramovic, Allen Kaprow, Adrian Piper, James Luna, Stelarc, Ron Athey, conceptual art, performance art, new media art, etc.) and practical experience in a variety of artistic exercises. This course is offered only one time each year.",1,2
modern art,VIS 20,Introduction to Art in Europe and America,"This course examines the history of Western art and architecture through such defining issues as the respective roles of tradition and innovation in the production and appreciation of art; the relation of art to its broader intellectual and historical contexts; and the changing concepts of the monument, the artist, meaning, style, and “art” itself. Representative examples will be selected from different periods, ranging from antiquity to modern. Content will vary with the instructor.",1,3
modern art,VIS 129C,Seminar in Modern Art History,A seminar on an advanced topic of special interest in modern or contemporary art.,1,4
modern art,VIS 128C,Topics in Modern Art History,A lecture course on a topic of special interest on modern or contemporary art. May be taken three times for credit. Recommended preparation: courses in art history (VIS 113AN–129F).,1,5
middle east,HIGR 274A,Historical Scholarship on the Early Modern Middle East,"Historiography of the late medieval and early modern Middle East, focusing specifically on the Ottoman Empire.",1,1
middle east,HINE 144,Topics in Middle Eastern History,Selected topics in the history of the Middle East. May be taken for credit three times.,1,2
middle east,HINE 119,US Mid-East Policy Post-WWII,"An examination of post-WWII Middle East conflicts, including the Israeli-Arab conflicts, the Lebanese Civil War, and the Gulf War of the 1980s. The roles of the superpowers and Middle Eastern states during the period.",1,3
middle east,HINE 120,The Middle East in the New Century,"An examination of the conflicts, changes, and continuities in the Middle East since 2000. The course includes inspection of the US role in Iraq and the region generally.",1,4
middle east,ECON 165,Middle East Economics,"Socioeconomic development in the Arab world, Iran, and Turkey. Historical perspective; international trade and fuel resources; education, health, and gender gaps; unemployment and migration; population and environment; Islam and democracy.",1,5
mental health,FMPH 426,Public Mental and Behavior Health and Addiction,"This course introduces key aspects of mental and behavioral health as well as the etiology, risk factors, and impact of mental disorders in public health. The focus will be given to the link between mental and physical health and the impact of mental health on health behavior and outcomes. Mental and behavioral health in relation to substance use and addiction will be covered. Intervention strategies to improve mental and behavioral health will be introduced.",1,1
mental health,ANTH 243,Mental Health as Global Health Priority,"Why is mental health a global concern? This anthropological course reviews globalization, culture, and mental health. We examine issues of social suffering, stigma, and economic burden associated with mental illness, gender inequality, political violence, “global security,” pharmaceutical and illegal drugs.",1,2
mental health,FMPH 425,Epidemiology of Public Mental Health,"This course focuses on the application of epidemiology methods to mental health studies nationally and globally. Course content will include an overview of global mental health epidemics, study design among vulnerable populations such as refugees and immigrants, and the challenges of detection and treatment. Particular attention will be given to how cultural factors and stigma affect mental health epidemiology and how to account for these factors in study design.",1,3
mental health,ANSC 143,Mental Health as Global Health Priority,"(Cross-listed with GLBH 143.) Why is mental health a global concern? This anthropological course reviews globalization, culture, and mental health. We examine issues of social suffering, stigma, and economic burden associated with mental illness, gender inequality, political violence, “global security,” pharmaceutical and illegal drugs. May be coscheduled with ANTH 243. Students may not receive credit for both ANSC 143 and GLBH 143.",1,4
mental health,GLBH 20,Introduction to Global Health,"Provides a foundational interdisciplinary understanding of complex global health issues and introduces major concepts and principles in global health. The course surveys the range of problems contributing to the global burden of disease and disability including infectious disease, mental illness, refugee and immigrant health, natural disasters, climate change, and food insecurity.",0,5
marketing,GPIM 420,Marketing,"The role and function of marketing in organizations and society. Attention is given to the analysis of markets and customers using primary and secondary sources of information and the planning, implementation, and evaluation of marketing strategies and programs. Renumbered from IRGN 420. Students may not receive credit for GPIM 420 and IRGN 420.",1,1
marketing,MGT 407,Marketing,"By taking an analytical approach to the study of marketing problems, this course provides an understanding of customers and competitors as a basis for developing, pricing, promoting, and distributing goods and services that satisfy customer and organizational objectives. Letter grades only.",1,2
marketing,ECON 176,Marketing,"Role of marketing in the economy. Topics such as buyer behavior, marketing mix, promotion, product selection, pricing, and distribution. Concurrent enrollment in ECON 120C is permitted.",1,3
marketing,MGT 476,Marketing Strategy,"Addresses formulation and implementation of marketing strategy based on an integrative view of competitive brand strategy over the product life cycle. Provides a framework for developing marketing strategies yielding sustainable competitive advantage based on customer, competitor, industry, and environmental analysis. Students may not earn credit for both MGT 476 and MGT 201. They are course equivalents.",1,4
marketing,MGT 478,Marketing Communications,"This course differentiates decisions/principles considered when developing an overall communications and promotions strategy. Key decisions include the promotional mix, the design, implementation and evaluation of communications strategies and the thinking required to develop a creative strategy. Students may not earn credit for both MGT 478 and MGT 204. They are course equivalents.",1,5
marine biology,SIOB 296,Special Topics in Ocean Biosciences,"Example topics are reproduction in marine animals, adaptation to marine environments, larval biology, marine fisheries, macromolecular evolution, physical chemical topics in physiology, philosophy of science.",1,1
marine biology,SIOB 290,Marine Biology,"An introduction to the field of marine biology, especially to the diversity of marine organisms at all taxonomic levels and their adaptations to the marine environment.",1,2
marine biology,BIEB 130,Marine Conservation Biology,"Course integrates principles of ecology and marine biology to examine marine biodiversity loss from overexploitation, habitat loss, invasion, climate change, and pollution. We examine consequences of biodiversity loss to marine ecosystems, discuss management regimes, and address global and local ocean conservation problems. Course includes basic overviews of climate, marine biology, and oceanography that may be similar to topics covered in introductory courses at Scripps Institution of Oceanography.",1,3
marine biology,SIOB 262,Marine Chemical Biology Seminar,"Students will give seminars on current research topics that span the interface of marine chemistry and marine biology. Topics will include natural products chemistry, biotechnology, biogeochemistry, and biochemistry relating to marine systems. May be taken for credit eighteen times.",1,4
marine biology,SIOB 286,"Marine Science, Economics, and Policy","This course investigates global issues in marine conservation and potential policy solutions. The approach is interdisciplinary, fast-paced, and discussion oriented. Students will become acquainted with sufficient background in marine biology, ecology, marine and conservation economics, international law, and policy as preparation for participation in discussion on real-world issues in marine conservation. Topics and instructors change each quarter.",1,5
machine learning,DSC 240,Machine Learning,"A graduate level course in machine learning algorithms: decision trees, principal component analysis, k-means, clustering, logistic regression, random forests, boosting, neural networks, kernel methods, deep learning.",1,1
machine learning,DSE 220,Machine Learning,"This course provides a broad introduction to the practical side of machine learning and data analysis. The topics covered in this class include topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting and perceptrons, and topics in unsupervised learning, such as k-means, PCA, and Gaussian mixture models.",1,2
machine learning,ECE 175A,Elements of Machine Intelligence: Pattern Recognition and Machine Learning,Introduction to pattern recognition and machine learning. Decision functions. Statistical pattern classifiers. Generative vs. discriminant methods for pattern classification. Feature selection. Regression. Unsupervised learning. Clustering. Applications of machine learning.,1,3
machine learning,CSE 251C,Principles of Machine Learning: Machine Learning Theory,"(Formerly CSE 250C.) Theoretical foundations of machine learning. Topics include concentration of measure, the PAC model, uniform convergence bounds, and VC dimension. Possible topics include online learning, learning with expert advice, multiarmed bandits, and boosting. Renumbered from CSE 250C. Students may not receive credit for CSE 251C and CSE 250C. Recommended preparation: CSE 103 and CSE 101 or similar course.",1,4
machine learning,DSC 255R,Machine Learning Fundamentals,"Supervised and unsupervised learning algorithms, and the theory behind those algorithms. Using case studies, covered topics include classification, regression, and conditional probability estimation; generative and discriminative models; linear models and extensions to non-linearity using kernel methods; ensemble methods: boosting, bagging, random forests; representation learning: clustering, dimensionality reduction, auto-encoders, deep neural networks. This is a distance education course.",1,5
lgbt,POLI 135,Comparative LGBT Politics,"This course is designed to expose students to the study of LGBT politics, focusing specifically on the formation of LGBT movements, the presence (or absence) of political opportunities to advance their desired goals, as well as their political success (or lack thereof). Although the course will initially examine the US LGBT movement, the course will also examine the formation (and political success/failure) of LGBT movements in other democratic political systems.",1,1
lgbt,HITO 265,Topics—LGBT History,"Topics will examine lesbian, gay, bisexual, transgender, and queer identities, communities, culture, and politics. May be repeated for credit two times, provided each course is a separate topic, for a maximum of twelve units.",1,2
lgbt,HITO 165,Topics—LGBT History,"Topics will examine lesbian, gay, bisexual, transgender, and queer identities, communities, culture, and politics. May be repeated for credit two times, provided each course is a separate topic, for a maximum of twelve units.",1,3
lgbt,LTCO 201,Theories and Methods of Literary Analysis,"Contemporary theories of the significance of literary form. The seminar will concentrate on major interpretive approaches drawn from several areas of literary, cultural, and political analysis, including Marxist theory, feminism, psychoanalytic theory, postcolonial studies, LGBT studies, diaspora studies, and others. The particular focus and approach may vary. May be taken for credit up to three times as topics vary. Restricted to major code LT77 or consent of instructor and department. Nongraduate students may enroll with consent of instructor.",1,4
lgbt,NO RESULTS,NO RESULTS,NO RESULTS,0,5
latin american history,LATI 298,Directed Reading,"Guided and supervised reading of the literature of the several areas included in the interdisciplinary fields of anthropology, communications, economics, history, literature, political science, and sociology.",0,1
latin american history,HILA 124A,History of Women and Gender in Latin America,"A broad historical overview of Latin American women’s history focusing on issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana women’s history.",1,2
latin american history,HILA 261,History of Women in Latin America,"A broad historical overview of Latin American women’s history of focusing on the issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana women’s history.",1,3
latin american history,HILA 161,History of Women in Latin America,"A broad historical overview of Latin American women’s history of focusing on the issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana women’s history.",1,4
latin american history,LATI 199,Individual Study,"Guided and supervised reading of the literature on Latin America in the interdisciplinary areas of anthropology, communications, economics, history, literature, political science, and sociology. For students majoring in Latin American Studies, reading will focus around potential topics for senior papers; for honors students in Latin American Studies, reading will culminate in formulation of a prospectus for the research thesis.",1,5
language models,LIGN 252,Advanced Probabilistic Models of Language,"Probabilistic techniques for data analysis and modeling of linguistics cognition. Hierarchical (mixed-effects) regression, graphical models, Bayesian methods, latent-variable models, nonparametric models, probabilistic grammars. Course covers both mathematical foundations and working with datasets using state-of-the-art computational tools. Recommended prerequisite: LIGN 251 or equivalent course with emphasis on probabilistic methods in linguistics.",1,1
language models,CSE 156,Statistical Natural Language Processing,"Natural language processing (NLP) is a field of AI which aims to equip computers with the ability to intelligently process natural (human) language. This course will explore statistical techniques for the automatic analysis of natural language data. Specific topics covered include probabilistic language models, which define probability distributions over text passages; text classification; sequence models; parsing sentences into syntactic representations; and machine translation.",1,2
language models,LIGN 251,Probabilistic Methods in Linguistics,"Probabilistic approaches to language knowledge, acquisition, and use. Quantitative analysis of linguistic data. Quantitative models in linguistic theory. Covers basic probability theory and tools of statistical analysis for language, including linear regression, ANOVA, generalized linear models (e.g., logistic regression), data visualization. Familiarity with probability theory highly encouraged.",1,3
language models,LIGN 155,Evolution of Language,"History of thought on language origins, genetic, neural, anatomical, and gestural theories of language evolution in relation to prior hominid and other species, the role of generational differences in language acquisition, and computational models.",0,4
language models,CSE 237D,Design Automation and Prototyping for Embedded Systems,System representation and modeling. Abstract and language models. Simulation as a modeling activity. Computational and hw/sw system prototypes. System analysis using models. Constraint and interface modeling. Behavioral compilation and synthesis.,1,5
java,CSE 86,C++ for Java Programmers,"Helps the Java programmer to be productive in the C++ programming environment. Topics include the similarities and differences between Java and C++ with special attention to pointers, operator overloading, templates, the STL, the preprocessor, and the C++ Runtime Environment.",1,1
java,CSE 12,Basic Data Structures and Object-Oriented Design,"Use and implementation of basic data structures including linked lists, stacks, and queues. Use of advanced structures such as binary trees and hash tables. Object-oriented design including interfaces, polymorphism, encapsulation, abstract data types, pre-/post-conditions. Recursion. Uses Java and Java Collections.",1,2
java,EDS 324CR,Learn to Teach Java,Examine issues in teaching and learning of programming in Java with a focus teaching of secondary-level students. Teaching and learning of algorithms; data structures and representation; searching and sorting; basic software design processes and impacts on society. Developing an educational infrastructure and professional community that supports computing in traditional K-12 environments. Experience with block-based programming is recommended.,0,3
java,CSE 134B,Web Client Languages,Design and implementation of interactive World Wide Web clients using helper applications and plug-ins. The main language covered will be Java.,1,4
java,DSC 30,Data Structures and Algorithms for Data Science,"Builds on topics covered in DSC 20 and provides practical experience in composing larger computational systems through several significant programming projects using Java. Students will study advanced programming techniques including encapsulation, abstract data types, interfaces, algorithms and complexity, and data structures such as stacks, queues, priority queues, heaps, linked lists, binary trees, binary search trees, and hash tables.",1,5
introduction to calculus,SIOB 276,Quantitative Theory of Populations and Communities,An introduction to the quantitative tools and conceptual issues underlying the study of the dynamics and structure of ecological systems. Recommended preparation: three quarters of calculus.,0,1
introduction to calculus,MATH 10A,Calculus I,"Differential calculus of functions of one variable, with applications. Functions, graphs, continuity, limits, derivatives, tangent lines, optimization problems. (No credit given if taken after or concurrent with MATH 20A.)",1,2
introduction to calculus,MATH 10B,Calculus II,"Integral calculus of functions of one variable, with applications. Antiderivatives, definite integrals, the Fundamental Theorem of Calculus, methods of integration, areas and volumes, separable differential equations. (No credit given if taken after or concurrent with MATH 20B.)",0,3
introduction to calculus,MATH 10C,Calculus III,"Introduction to functions of more than one variable. Vector geometry, partial derivatives, velocity and acceleration vectors, optimization problems. (No credit given if taken after or concurrent with 20C.)",0,4
introduction to calculus,MATH 20E,Vector Calculus,"Change of variable in multiple integrals, Jacobian, Line integrals, Green’s theorem. Vector fields, gradient fields, divergence, curl. Spherical/cylindrical coordinates. Taylor series in several variables. Surface integrals, Stoke’s theorem. Gauss’ theorem. Conservative fields.",0,5
image processing,CSE 166,Image Processing,"Principles of image formation, analysis, and representation. Image enhancement, restoration, and segmentation; stochastic image models. Filter design, sampling, Fourier and wavelet transforms. Selected applications in computer graphics and machine vision.",1,1
image processing,DSC 254,Statistical Signal and Image Analysis,"A graduate level course on signal and image analysis spanning three main themes. Statistical signal processing: random processes, stochasticity, stationarity, Wiener filter, Kalman filter, matched filter; signal processing: time-frequency representations, wavelets, signal processing with sparse representation (dictionary learning); image processing: registration, image degradation and restoration: noise models + denoising, image pyramids, random fields.",1,2
image processing,ECE 187,Introduction to Biomedical Imaging and Sensing,"Image processing fundamentals: imaging theory, image processing, pattern recognition; digital radiography, computerized tomography, nuclear medicine imaging, nuclear magnetic resonance imaging, ultrasound imaging, microscopy imaging.",1,3
