Query,Class Code,Class Title,Class Description
physiology,BIPN 100,Human Physiology I,"Course introduces the concepts of physiological regulation, controlled and integrated by the nervous and endocrine systems. Course then examines the muscular, cardiovascular, and renal systems in detail and considers their control through the interaction of nervous activity and hormones. Note: Students may not receive credit for both BIPN 100 and BENG 140A."
physiology,BGGN 259,Quantitative Physiology,"This course focuses on quantitative biology above the single cell level, from multicellular interactions to organs, organisms, and their physiology. Topics to be addressed include collective cell migration, developmental biology, organ systems, the microbiome, microbial communities, and embryology. Quantitative methods for data collection and analysis will be considered, along with use of mathematical and biophysical modeling. S/U grades only. Enrollment restricted to PhD students in the following major codes: BI77, BI78, BI83, BS75, BS80, CH75, CH81, BE75, BE80, BF78, PY75, PY76, PY81. May be taken for credit up to two times."
physiology,SIOB 281,Marine Physiology,"Biochemical and physiological mechanisms of adaptation of organisms to the marine environment. Special emphasis is on biological responses to temperature, salinity, carbon dioxide, pH and bicarbonate levels."
physiology,BENG 230C,Cardiovascular Physiology,"Physical concepts of behavior of heart, large blood vessels, vascular beds in major organs and the microcirculation. Physical and physiological principles of blood flow, blood pressure, cardiac work, electrophysiology of the heart. Special vascular beds, including their biological and hemodynamic importance. Integration through nervous and humoral controls."
photoshop,TDGR 269A,Photoshop I,Course will introduce the basic functions and applications of Photoshop as they may be applied to theatrical design. Emphasis on using Photoshop as an artistic tool.
photoshop,TDGR 269B,Photoshop II,Advanced Photoshop techniques will be explored and applied to the creation of multimedia projects.
photoshop,VIS 182A,Advanced Digital Photography Editing,"Approaching digital editing from a theoretical perspective. How does manipulation work with and against claims of truth in photography? How have artists used image manipulation toward conceptual means? Students will learn advanced editing techniques in Photoshop while learning about the political, social, and personal implications of the altered image landscape. Two production-course limitation."
photoshop,VIS 106A,Painting: Image Making,"A studio course focusing on problems inherent in painting—transferring information and ideas onto a two-dimensional surface, color, composition, as well as manual and technical procedures. These concepts will be explored through the use of models, still life, and landscapes."
photoshop,VIS 169B,Advanced Photographic Print,"This course explores both material and conceptual analog photography practices and advanced darkroom techniques. Students are encouraged to pursue experimental chemical and optical photographic processes including cyanotypes and chemigrams, multiple exposure, medium and large format, and hybrid photo media. Students will be required to create a portfolio of work. Program or materials fees may apply. Two production-course limitation."
pharmacology,BIMM 118,Pharmacology,"Basics of pharmacology such as drug absorption, distribution, metabolism, and elimination. Concepts in toxicology and pharmacognosy are used to survey the major drug categories."
pharmacology,BGGN 218,Principles of Drug Development and Pharmacology,"Introduction to core concepts in drug development along with principles of pharmacokinetics, systems pharmacology, and toxicology. Examples of additional topics include origin and history of pharmacology, advertising versus science, and political influence on access to drugs. Enrollment restricted to MS/PhD students only in the following major codes: BI84, BI87, BI77, BI78."
pharmacology,BIOM 275,Seminars in Pharmacology,This course includes attendance at seminars in pharmacology and is designed to provoke critical discussion of the presented findings and the scientific approaches in a small group setting.
pharmacology,CHEM 118,Pharmacology and Toxicology,A survey of the biochemical action of drugs and toxins as well as their absorption and excretion.
pharmacology,BIOM 231,Contemporary Topics in Pharmacology,"A selection of short courses in the biomedical and pharmacological sciences offered by resident experts. Topics will vary annually. Each short course will last one to two weeks, meeting five hours a week."
painting,VIS 106A,Painting: Image Making,"A studio course focusing on problems inherent in painting—transferring information and ideas onto a two-dimensional surface, color, composition, as well as manual and technical procedures. These concepts will be explored through the use of models, still life, and landscapes."
painting,VIS 106C,Painting: Portfolio Projects,"A studio course in painting emphasizing individual creative problems. Class projects, discussions, and critiques will focus on issues related to intention, subject matter, and context."
painting,VIS 106B,Painting: Practices and Genre,A continuation of VIS 106A. A studio course in which the student will investigate a wider variety of technical and conceptual issues involved in contemporary art practice related to painting.
painting,VIS 202,Art Practice,"A workshop/seminar devoted to a particular materials practice (e.g., media, painting, digital media, etc.) that engages with critical questions arising within that discipline. Content will vary from quarter to quarter. May be taken for credit two times. (Required, MFA)"
painting,TDGR 269A,Photoshop I,Course will introduce the basic functions and applications of Photoshop as they may be applied to theatrical design. Emphasis on using Photoshop as an artistic tool.
organic chemistry,CHEM 40A,Organic Chemistry for Life Sciences I,"The first quarter of a two-quarter organic chemistry sequence intended for biological sciences majors and other interested students. The course provides in-depth study of the molecular structure and reactivity of organic molecules with emphasis on biological applications. Topics covered include bonding theory, resonance, stereochemistry, conjugation, aromaticity, spectroscopy, effects of structure on properties and reactivity, introduction to reaction mechanisms, and nucleophilic substitutions. Students may receive credit for one of the following: CHEM 40A, CHEM 40AH, or CHEM 41A. Recommended: concurrent or prior enrollment in CHEM 6C or 6CH."
organic chemistry,CHEM 143B,Organic Chemistry Laboratory,"Continuation of CHEM 43A or 43AM, emphasizing synthetic methods of organic chemistry. Enrollment is limited to majors in the Department of Chemistry and Biochemistry unless space is available. Program or materials fees may apply."
organic chemistry,CHEM 259,Special Topics in Organic Chemistry,"Various advanced topics in organic chemistry. Includes but is not limited to advanced kinetics, advanced spectroscopy, computational chemistry, heterocyclic chemistry, medicinal chemistry, organotransition metal chemistry, polymers, solid-phase synthesis/combinatorial chemistry, stereochemistry, and total synthesis classics."
organic chemistry,CHEM 143C,Organic Chemistry Laboratory,Identification of unknown organic compounds by a combination of chemical and physical techniques. Enrollment is limited to majors in the Department of Chemistry and Biochemistry unless space is available. Program or materials fees may apply.
organic chemistry,CHEM 40C,Organic Chemistry III,"Renumbered from CHEM 140C. Continuation of CHEM 40A, Organic Chemistry I and CHEM 40B, Organic Chemistry II. Organic chemistry of biologically important molecules: carboxylic acids, carbohydrates, proteins, fatty acids, biopolymers, natural products. Students may only receive credit for one of the following: CHEM 40C, 40CH, 140C, or 140CH."
optimization,MATH 271A,Numerical Optimization,Formulation and analysis of algorithms for constrained optimization. Optimality conditions; linear and quadratic programming; interior methods; penalty and barrier function methods; sequential quadratic programming methods.
optimization,MATH 271B,Numerical Optimization,Formulation and analysis of algorithms for constrained optimization. Optimality conditions; linear and quadratic programming; interior methods; penalty and barrier function methods; sequential quadratic programming methods.
optimization,MATH 271C,Numerical Optimization,Formulation and analysis of algorithms for constrained optimization. Optimality conditions; linear and quadratic programming; interior methods; penalty and barrier function methods; sequential quadratic programming methods.
optimization,DSC 243,Advanced Optimization,"Linear/quadratic programming, optimization under constraints, gradient descent (deterministic and stochastic), convergence rate of gradient descent, acceleration phenomena in convex optimization, stochastic optimization with large data sets, complexity lower bounds for convex optimization."
optimization,DSC 211,Introduction to Optimization,"Continuity and differentiability of a function of several variables, gradient vector, Hessian matrices, Taylor approximation, fundamentals of optimization, Lagrange multipliers, convexity, gradient descent."
ocean,SIO 30,The Oceans,"Presents modern ideas and descriptions of the physical, chemical, biological, and geological aspects of oceanography, and considers the interactions between these aspects. Intended for students interested in the oceans, but who do not necessarily intend to become professional scientists."
ocean,SIOC 211A,Ocean Waves I,"Propagation and dynamics of waves in the ocean, including the effects of stratification, rotation, topography, wind, and nonlinearity."
ocean,SIO 174,Chemistry of the Atmosphere and Oceans,"An introduction to chemical compounds and their biogeochemical cycles in the oceans and atmosphere, with emphasis on climate issues like ocean acidification, greenhouse gases and the carbon cycle, other biogeochemical cycles, chlorofluorocarbons and the ozone hole, urban pollutants and their photochemistry, and aerosol particles and their effects on clouds."
ocean,SIO 3,Life in the Oceans,"An introduction to the wide variety of organisms that live in the oceans, the habitats they occupy, and how species interact with each other and their environment. Included will be examinations of adaptations, behavior, ecology, and a discussion of local and global resource management and conservation issues. This course is designed for nonbiology majors."
ocean,SIO 119,Physics and Chemistry of the Oceans,"Basic physical and chemical processes that influence the biology of the oceans, such as ocean circulation, ocean acidification, carbonate chemistry, trace metal chemistry."
natural language processing,DSC 258R,Natural Language Processing,"Introduction to classical methods that are useful in analyzing and mining real-world text data, including tokenization, stemming and lemmatization, bag-of-words classification, word embedding, language models, sentiment analysis, part-of-speech tagging, named entity recognition, and sequence-to-sequence models. Consideration of possible biases, privacy, and societal implications in these models. This is a distance education course."
natural language processing,CSE 156,Statistical Natural Language Processing,"Natural language processing (NLP) is a field of AI which aims to equip computers with the ability to intelligently process natural (human) language. This course will explore statistical techniques for the automatic analysis of natural language data. Specific topics covered include probabilistic language models, which define probability distributions over text passages; text classification; sequence models; parsing sentences into syntactic representations; and machine translation."
natural language processing,CSE 256,Statistical Natural Language Processing,"An introduction to modern statistical approaches to natural language processing: part of speech tagging, word sense disambiguation and parsing, using Markov models, hidden Markov models, and probabilistic context-free grammars. Recommended preparation: LIGN 165, LIGN 245, CSE 151, CSE 250A, or CSE 254."
natural language processing,LING 256,Statistical Natural Language Processing,"An introduction to modern statistical approaches to natural language processing: part of speech tagging, word sense disambiguation and parsing, using Markov models, hidden Markov models, and probabilistic context-free grammars. Recommended preparation: LIGN 165, LIGN 245, CSE 151, CSE 250A, or CSE 254."
natural language processing,LIGN 256,Statistical Natural Language Processing,"(Same as CSE 256.) Introduction to modern statistical approaches to natural language processing: part-of-speech tagging, word-sense disambiguation and parsing, using Markov models, hidden Markov models, and probabilistic context-free grammars. Recommended"
neuroscience,PSYC 106,Behavioral Neuroscience,"This course provides a comprehensive overview of human and animal behavior from a neuroscience perspective. Topics include the functions and mechanisms of perception, motivation (sex, sleep, hunger, emotions), learning and memory, and motor control and movement."
neuroscience,PHIL 151,Philosophy of Neuroscience,"An introduction to elementary neuroanatomy and neurophysiology and an examination of theoretical issues in cognitive neuroscience and their implications for traditional philosophical conceptions of the relation between mind and body, perception, consciousness, understanding, emotion, and the self."
neuroscience,PSYC 102,Sensory Neuroscience,"This course provides a comprehensive overview of the neural mechanisms that support vision, audition, touch, olfaction, and taste."
neuroscience,COGS 107B,Systems Neuroscience,"This course focuses on the electrical dynamics of neurons and how their patterns relate to perception, thought, and action. Neural activity patterns underlying vision, touch, audition, proprioception, and head orientation are examined in detail. Also examined are motor control, sleep/wake state production, action planning, learning, memory, attention, spatial cognition and function of the cerebellum, basal ganglia, and hippocampus."
neuroscience,COGS 107C,Cognitive Neuroscience,"This course reviews research investigating the neural bases for human mental processes, including processing of affective, social, linguistic, and visuospatial information, as well as memory, attention, and executive functions. Also discussed are brain development and brain aging, and the nature of intelligence and creativity."
neural networks,COGS 181,Neural Networks and Deep Learning,"This course will cover the basics about neural networks, as well as recent developments in deep learning including deep belief nets, convolutional neural networks, recurrent neural networks, long-short term memory, and reinforcement learning. We will study details of the deep learning architectures with a focus on learning end-to-end models for these tasks, particularly image classification. Students may receive credit for one of the following: COGS 181, CSE 151B, or CSE 154."
neural networks,COGS 138,Neural Data Science,"Project-based course in which students will use computational notebooks to perform exploratory data analyses and to test hypotheses in large neuroscience datasets, including the differences between unique neuron types, leveraging text mining of the neuroscience literature, and human neuroimaging analyses."
neural networks,BIPN 162,Neural Data Science,"Project-based course in which students will use computational notebooks to perform exploratory data analyses and to test hypotheses in large neuroscience data sets, including the differences between unique neuron types, leveraging text mining of the neuroscience literature, and human neuroimaging analyses."
neural networks,BGGN 240,Neural Data Science,"Project-based course in which students will use computational notebooks to perform exploratory data analyses and to test hypotheses in large neuroscience data sets, including the differences between unique neuron types, leveraging text mining of the neuroscience literature, and human neuroimaging analyses. Enrollment restricted to MS students only in the following major code: BI84, BI87. May be coscheduled with BIPN 162."
neural networks,BENG 147B,Design Implementation in Neural Engineering,Implementation of design project in neural engineering.
native american,ANSC 145,Indigenous Peoples of North America,"This course addresses: 1) Diversity among traditional Native American cultures with respect to social organization, religion, environmental adaptation, subsistence, and reaction to colonial conquest and domination; and, 2) Contemporary social issues including tribal sovereignty, religious freedom, health, education, gambling, and repatriation of artifacts/remains."
native american,ETHN 214A,Representing Native America,"This course provides an introduction to the history and theory of museum representation of American Indians in order to explore its relation to colonialism and decolonization. In addition to a wide-ranging look at the complex foundations of systems of representing Indians and Indianness, the course includes a study of a specific art form and history of a specific Native American community that will allow the class to create new approaches to designing a museum exhibition. May be co-scheduled with ETHN 114A."
native american,ETHN 112A,History of Native Americans and Indigenous Peoples in the U,"This course examines the histories of Native American, Pacific Islander, and other indigenous populations in the United States, with specific emphasis on precolonial and postcontact interaction and knowledge systems of indigenous groups from the 1400s to mid-nineteenth century."
native american,ETHN 112B,History of Native Americans and Indigenous Peoples in the U,"This course examines the history of Native American, Pacific Islander, and other indigenous populations in the United States, with specific emphasis on and analyses of postcontact interactions, federal laws and policies, and decolonial efforts among American Indians, Pacific Islanders, other tribal communities, and indigenous peoples/nations in the United States from the late nineteenth century to the present."
native american,ETHN 114A,Representing Native America,History and theory: Introduction to the history and theory of museum representation of American Indians in order to explore its relation to colonialism and decolonization. Study of Plains Indian drawings from 1860 to 1890 will allow the class to create new approaches to designing a museum exhibition.
national security,POLI 142I,National and International Security,A survey of theories of defense policies and international security.
national security,POLI 142J,National Security Strategy,"A survey of American strategies for national defense. Topics may include deterrence, coercive diplomacy, limited war, and unconventional warfare."
national security,POLI 243,International Security,A colloquium surveying the major theoretical controversies in the study of international and national security.
national security,POLI 149,"Spies, Intelligence, and US National Security","Information is the key to success and failure in US foreign policy. This course will cover the American intelligence community’s secret and information gathering processes. The curriculum is organized by the specialist functions of real-world IC professionals. You will learn methods for collecting raw data, including human and signals intelligence, how that data is synthesized into intelligence, the different reporting formats that drive national security decisions, and about oversight and ethical issues."
national security,POLI 142M,US Foreign Policy/Regional Security,"Lectures and readings examine US foreign policy in Europe, Latin America, and East Asia with attention to current problems with specific nations (e.g., Bosnia) and issues (e.g., terrorism). This course integrates historical, comparative, and foreign perspectives on regional security dynamics."
movies,RELI 150,Religion and Cinema,"The course is an introductory study of cinema and religion. It explores how cinema depicts religion and spiritual experience. A number of films will be studied to understand how cinematic and religious narratives and practices overlap and, at times, diverge in complex ways."
movies,VIS 7,Movie Magic: From Méliès to Marvel,"Looking at spectacle in motion pictures, the illusion of cinema, and visual effects in popular media. This class will introduce students to the history of special and visual effects in film and video, from the earliest cinematic experiments to experimental film and modern-day blockbusters. We will examine the integration of technology with image-making and storytelling and look at the exciting ways artists make the impossible come alive on screen."
movies,VIS 194S,Fantasy in Film,"This course will explore the path of the deliberately “unreal” in movies. Fantasy in film will be considered in terms of its cultural and creative appearance in motion pictures, looking at imaginary worlds and stories in such genres as science fiction, horror, and musical films. Offered in Summer Session only. Program or materials fees may apply. May be taken for credit three times."
movies,NO RESULTS,NO RESULTS,NO RESULTS
movies,NO RESULTS,NO RESULTS,NO RESULTS
modern art,VIS 124G,Art and Modernity,"A critical study of mid- to late nineteenth-century painting, sculpture, and printmaking in Europe. Key artists, or groups of artists, include Gustave Courbet, the Pre-Raphaelites, Adolph Menzel, Edouard Manet, the Impressionists, the Neoimpressionists, Vincent van Gogh, Paul Gauguin, Paul Cézanne, the Nabis, Auguste Rodin, James Ensor, and others."
modern art,LTTH 255,Modern Art Movements and Aesthetics,"An introduction to modernist aesthetics with a focus on art and literary movements. Particular attention to be placed on relationships between modern literary movements (realism, imagism, surrealism) and their counterparts in visual arts, music, dance, and theatre, and the ways in which literary movements are components of or responses to issues of political and social identity. Restricted to major code LT84 or consent of instructor and department."
modern art,VIS 22,Formations of Modern Art,"A wide-ranging survey introducing the key aspects of global art and criticism in the nineteenth and twentieth centuries. The course will comparatively examine formations of modernism and modernity within and across a variety of aesthetic traditions in Africa, Asia, Europe, Latin America, North America, and Oceania."
modern art,VIS 125BN,Contemporary Art,"Art after abstract expressionism: happenings, postpainterly abstraction, minimalism, performance, earth art, conceptual art, neo-expressionism, postconceptualism and development in the 1990s, including non-Western contexts. We also explore the relation of these tendencies to postmodernism, feminism, and ideas of postcoloniality. Recommended preparation: VIS 20 or 22 recommended."
modern art,VIS 128C,Topics in Modern Art History,A lecture course on a topic of special interest on modern or contemporary art. May be taken three times for credit. Recommended preparation: courses in art history (VIS 113AN–129F).
middle east,HINE 120,The Middle East in the New Century,"An examination of the conflicts, changes, and continuities in the Middle East since 2000. The course includes inspection of the US role in Iraq and the region generally."
middle east,HINE 108,The Middle East before Islam,"The peoples, politics, and cultures of Southwest Asia and Egypt from the sixth century BCE to the seventh century CE. The Achaemenid Empire, the Ptolemaic and Seleucid kingdoms, the Roman Orient, the Parthian and Sasanian states. +"
middle east,ECON 165,Middle East Economics,"Socioeconomic development in the Arab world, Iran, and Turkey. Historical perspective; international trade and fuel resources; education, health, and gender gaps; unemployment and migration; population and environment; Islam and democracy."
middle east,HINE 118,The Middle East in the Twentieth Century,"An introduction to the history of the Middle East since 1914. Themes such as nationalism, imperialism, the oil revolution, and religious revivalism will be treated within a broad chronological and comparative framework drawing on the experience of selected countries."
middle east,HINE 165,The Colonial Mandates in the Middle East,A colloquium focusing on the problems and patterns in the emergence of modern Middle Eastern states since 1920.
mental health,GLBH 171R,Global Mental Health,"Global Mental Health (GMH) is a field of research, practice, and advocacy prioritizing mental health for all persons and communities worldwide. GMH recognizes mental, neurological, or substance use disorders as the leading causes of disability worldwide and works to counteract social stigma and discrimination commonly associated with such conditions. The course introduces this interdisciplinary field based on analysis of and writing about critical sources from the relevant scholarly literature."
mental health,ANTH 276,Global Mental Health,"(Cross-listed with GLBH 274.) This course will examine core topics in global mental health research and practice, including cross-cultural classification of mental illness, stigma, and intervention. It combines anthropological perspectives alongside cross-cultural psychiatry, epidemiology, humanities, and global public health. The course highlights mixed method approaches to research, intervention design, and evaluation. The seminar includes a combination of interactive lectures, discussion, and hands-on activities."
mental health,ANTH 259,Gender and Mental Health,"This seminar in psychological/psychiatric anthropology takes a comparative approach to the study of gender and mental health. Culture and feminist theory is employed to address questions of gender in relation to various problems, such as depression, anxiety, and eating disorders."
mental health,ANTH 249,Gender and Mental Health,"This course examines gender and mental health by considering social, cultural, and biological explanations for problems such as depression, trauma, anxiety, drugs/alcohol use. Cross-cultural similarities and differences of gender are considered with respect to etiology, epidemiology, symptomatology, treatment, and recovery."
mental health,GLBH 274,Global Mental Health,"(Cross-listed with ANTH 276.) This course will examine core topics in global mental health research and practice, including cross-cultural classification of mental illness, stigma, and intervention. It combines anthropological perspectives alongside cross-cultural psychiatry, epidemiology, humanities, and global public health. The course highlights mixed-method approaches to research, intervention design, and evaluation. The seminar includes a combination of interactive lectures, discussion, and hands-on activities."
marketing,MGT 407,Marketing,"By taking an analytical approach to the study of marketing problems, this course provides an understanding of customers and competitors as a basis for developing, pricing, promoting, and distributing goods and services that satisfy customer and organizational objectives. Letter grades only."
marketing,ECON 176,Marketing,"Role of marketing in the economy. Topics such as buyer behavior, marketing mix, promotion, product selection, pricing, and distribution. Concurrent enrollment in ECON 120C is permitted."
marketing,GPIM 420,Marketing,"The role and function of marketing in organizations and society. Attention is given to the analysis of markets and customers using primary and secondary sources of information and the planning, implementation, and evaluation of marketing strategies and programs. Renumbered from IRGN 420. Students may not receive credit for GPIM 420 and IRGN 420."
marketing,MGT 476,Marketing Strategy,"Addresses formulation and implementation of marketing strategy based on an integrative view of competitive brand strategy over the product life cycle. Provides a framework for developing marketing strategies yielding sustainable competitive advantage based on customer, competitor, industry, and environmental analysis. Students may not earn credit for both MGT 476 and MGT 201. They are course equivalents."
marketing,MGT 478,Marketing Communications,"This course differentiates decisions/principles considered when developing an overall communications and promotions strategy. Key decisions include the promotional mix, the design, implementation and evaluation of communications strategies and the thinking required to develop a creative strategy. Students may not earn credit for both MGT 478 and MGT 204. They are course equivalents."
marine biology,SIOB 290,Marine Biology,"An introduction to the field of marine biology, especially to the diversity of marine organisms at all taxonomic levels and their adaptations to the marine environment."
marine biology,BIEB 130,Marine Conservation Biology,"Course integrates principles of ecology and marine biology to examine marine biodiversity loss from overexploitation, habitat loss, invasion, climate change, and pollution. We examine consequences of biodiversity loss to marine ecosystems, discuss management regimes, and address global and local ocean conservation problems. Course includes basic overviews of climate, marine biology, and oceanography that may be similar to topics covered in introductory courses at Scripps Institution of Oceanography."
marine biology,SIO 133,Marine Mammal Biology,"Introduction to the biology, ecology, evolution, and conservation status of marine mammals. Description of marine mammal taxa (mysticetes, odontocetes, pinnipeds, sirenians), their anatomy, physiology, ecology, and behavior. Impacts of whaling, fisheries interactions, and other anthropogenic threats."
marine biology,SIO 132,Introduction to Marine Biology,"Overview of marine organisms and their adaptations to sea life. Selected examples of physiological, behavioral, and evolutionary adaptations in response to the unique challenges of a maritime environment."
marine biology,SIO 127,Marine Molecular Ecology,This course will survey the application of molecular methods to address diverse questions concerning the ecology and evolutionary biology in marine organisms. Focus will be on genetic and genomic approaches that are providing new insights into how marine organisms adapt to their physical and biotic environments.
machine learning,DSC 240,Machine Learning,"A graduate level course in machine learning algorithms: decision trees, principal component analysis, k-means, clustering, logistic regression, random forests, boosting, neural networks, kernel methods, deep learning."
machine learning,DSE 220,Machine Learning,"This course provides a broad introduction to the practical side of machine learning and data analysis. The topics covered in this class include topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting and perceptrons, and topics in unsupervised learning, such as k-means, PCA, and Gaussian mixture models."
machine learning,CSE 151A,Introduction to Machine Learning,"Broad introduction to machine learning. The topics include some topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting, and perceptrons; and topics in unsupervised learning, such as k-means and hierarchical clustering. In addition to the actual algorithms, the course focuses on the principles behind the algorithms. Students may not receive credit for both CSE 151A and COGS 188, nor may they receive credit for both CSE 151A and CSE 151."
machine learning,COGS 118A,Supervised Machine Learning Algorithms,"This course introduces the mathematical formulations and algorithmic implementations of the core supervised machine learning methods. Topics in 118A include regression, nearest neighborhood, decision tree, support vector machine, and ensemble classifiers. COGS 118A-B may be taken in either order."
machine learning,MAE 146,Introduction to Machine Learning Algorithms,"An introduction to the principles used to design and implement machine learning algorithms, as well as an understanding of their advantages and limitations. The topics covered are python review, supervised learning (linear, logistic/sigmoid regression, generalized linear models, nonlinear regression via Kernels), neural network types (convolutional, recurrent, deep NN), unsupervised learning (k-means clustering). Application of ML in different examples. Recommended preparation: ECE 143 and/or python programming knowledge."
lgbt,SOCI 119,Sociology of Sexuality and Sexual Identities,"Introduction both to the sociological study of sexuality and to sociological perspectives in gay/lesbian studies. Examines the social construction of sexual meanings, identities, movements, and controversies; the relation of sexuality to other institutions; and the intersection of sexuality with gender, class, and race."
lgbt,RELI 131,Topics in Religion and Sexuality,How does religiosity as a significant cultural component help mold gender and sexuality identities? The class offers topical investigations into this question.
lgbt,ANSC 125GS,"Gender, Sexuality, and Society","How are gender and sexuality shaped by cultural ideologies, social institutions, and social change? We explore their connections to such dimensions of society as kinship and family, the state, religion, and popular culture. We also examine alternative genders/sexualities cross-culturally. Students may not receive credit for ANSC 125GS and ANSC 125. Program or materials fees may apply."
lgbt,ANSC 125,"Gender, Sexuality, and Society","How are gender and sexuality shaped by cultural ideologies, social institutions, and social change? We explore their connections to such dimensions of society as kinship and family, the state, religion, and popular culture. We also examine alternative genders/sexualities cross-culturally. Students may not receive credit for ANSC 125 and ANSC 125GS."
lgbt,CGS 117,Transgenderisms,"(Cross-listed with ANSC 117.) This course contrasts mainstream Anglo-American conceptualizations of transgenderism with ethnographic accounts of the experiences and practices of gender expansive people of color (African, Native, Asian/Pacific Islander, and Latinx Americans) in the United States and abroad. It will question the idea of transgenderism as a crossing from one gender to another one, the distinction between gender identity and sexuality, and the analytic of intersectionality. Students will not receive credit for both CGS 117 and ANSC 117."
latin american history,HILA 144,Topics in Latin American History,Selected topics in Latin American history. Course may be taken for credit up to three times as topics vary (the course subtitle will be different for each distinct topic). Students who repeat the same topic in HILA 144 will have the duplicate credit removed from their academic record.
latin american history,HILA 161,History of Women in Latin America,"A broad historical overview of Latin American women’s history of focusing on the issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana women’s history."
latin american history,HILA 261,History of Women in Latin America,"A broad historical overview of Latin American women’s history of focusing on the issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana women’s history."
latin american history,HILA 168,Scholarship on Latin American History in the Nineteenth Century,"Introduction to the historiography on Latin America for the nineteenth century: world economy, nation-state building, agrarian processes, incipient industrialization, political and cultural thought, and social structure. Requirements will vary for undergraduate, MA, and PhD students. Graduate students are required to submit an additional research paper."
latin american history,HILA 268,Scholarship on Latin American History in the Nineteenth Century,"Introduction to the historiography on Latin America for the nineteenth century: world economy, nation-state building, agrarian processes, incipient industrialization, political and cultural thought, and social structure. Requirements will vary for undergraduate, MA, and PhD students. Graduate students are required to submit an additional research paper."
language models,LIGN 252,Advanced Probabilistic Models of Language,"Probabilistic techniques for data analysis and modeling of linguistics cognition. Hierarchical (mixed-effects) regression, graphical models, Bayesian methods, latent-variable models, nonparametric models, probabilistic grammars. Course covers both mathematical foundations and working with datasets using state-of-the-art computational tools. Recommended prerequisite: LIGN 251 or equivalent course with emphasis on probabilistic methods in linguistics."
language models,LIGN 165,Computational Linguistics,"An introduction to the fundamental concepts of computational linguistics, in which we study natural language syntax and semantics from an interpretation perspective, describe methods for programming computer systems to perform such interpretation, and survey applications of computational linguistics technology."
language models,LIGN 245,Computational Corpus Linguistics,Introduction to computational corpus tools for performing empirically grounded linguistic investigations. Annotated and unannotated corpora; annotation schemes. Searching using regular expressions. UNIX tools. The PERL programming language. Publicly available language processing systems.
language models,COGS 101C,Language,"An introduction to structure of natural language, and to the cognitive processes that underline its acquisition, comprehension, and production. This course covers findings from linguistics, computer science, psychology, and cognitive neuroscience to provide an integrated perspective on human language abilities."
language models,CSE 256,Statistical Natural Language Processing,"An introduction to modern statistical approaches to natural language processing: part of speech tagging, word sense disambiguation and parsing, using Markov models, hidden Markov models, and probabilistic context-free grammars. Recommended preparation: LIGN 165, LIGN 245, CSE 151, CSE 250A, or CSE 254."
java,CSE 86,C++ for Java Programmers,"Helps the Java programmer to be productive in the C++ programming environment. Topics include the similarities and differences between Java and C++ with special attention to pointers, operator overloading, templates, the STL, the preprocessor, and the C++ Runtime Environment."
java,EDS 324CR,Learn to Teach Java,Examine issues in teaching and learning of programming in Java with a focus teaching of secondary-level students. Teaching and learning of algorithms; data structures and representation; searching and sorting; basic software design processes and impacts on society. Developing an educational infrastructure and professional community that supports computing in traditional K-12 environments. Experience with block-based programming is recommended.
java,CSE 6R,Introduction to Computer Science and Object-Oriented Programming: Python,"An introduction to computer science and programming using the Python language. The course will cover topics such as basic data types (e.g., integer, float, string), loops and iteration, basic data structures (e.g., list, set, dictionary), memory models, conditional statements, recursion, basic algorithm time complexity analysis, class design, and inheritance."
java,LIGN 121,Syntax I,What universal principles determine how words combine into phrases and sentences? Introduction to research methods and results. Emphasis on how argumentation in problem-solving can be used in the development of theories of language.
java,CSE 12,Basic Data Structures and Object-Oriented Design,"Use and implementation of basic data structures including linked lists, stacks, and queues. Use of advanced structures such as binary trees and hash tables. Object-oriented design including interfaces, polymorphism, encapsulation, abstract data types, pre-/post-conditions. Recursion. Uses Java and Java Collections."
introduction to calculus,MATH 10A,Calculus I,"Differential calculus of functions of one variable, with applications. Functions, graphs, continuity, limits, derivatives, tangent lines, optimization problems. (No credit given if taken after or concurrent with MATH 20A.)"
introduction to calculus,MATH 20A,Calculus for Science and Engineering,"Foundations of differential and integral calculus of one variable. Functions, graphs, continuity, limits, derivative, tangent line. Applications with algebraic, exponential, logarithmic, and trigonometric functions. Introduction to the integral. (Two credits given if taken after MATH 1A/10A and no credit given if taken after MATH 1B/10B or MATH 1C/10C. Formerly numbered MATH 2A.)"
introduction to calculus,MATH 10B,Calculus II,"Integral calculus of functions of one variable, with applications. Antiderivatives, definite integrals, the Fundamental Theorem of Calculus, methods of integration, areas and volumes, separable differential equations. (No credit given if taken after or concurrent with MATH 20B.)"
introduction to calculus,MATH 20B,Calculus for Science and Engineering,"Integral calculus of one variable and its applications, with exponential, logarithmic, hyperbolic, and trigonometric functions. Methods of integration. Infinite series. Polar coordinates in the plane and complex exponentials. (Two units of credits given if taken after MATH 1B/10B or MATH 1C/10C.)"
