Code,Department,Title,Units,Description,Prerequisites,Level,URL
SIOC 237A,SIOC,Introduction to Ocean Optics,4,Overview of ocean optics. Concepts in radiometry. Inherent and apparent optical properties. Radiative transfer equation. Light absorption and scattering by seawater constituents. Optics of air-water interface. Light fields within and leaving the ocean. Optics of marine particles. Measurement methods and instrumentation. Recommended preparation: basic physics and differential calculus.,graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+237A
SIOC 237B,SIOC,Ocean Color Remote Sensing,4,Overview of ocean color satellite missions. Concepts in radiometry. Inherent and apparent optical properties. Radiative transfer equation. Solar radiation and elements of atmospheric optics. Propagation of light across the sea surface and within the ocean. Light absorption and scattering by seawater. Water-leaving radiance and remote-sensing reflectance. Ocean color algorithms and applications. Recommended preparation: basic physics and differential calculus.,graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+237B
SIOC 237C,SIOC,Optical-Biological Interactions in the Ocean,4,"This is a course on the interactions of underwater light with marine plankton and animals. Topics include basic physics of interaction of light and matter, optical properties of marine plankton, optical and biological effects associated with interactions of light with marine organisms, and optical methods and their applications to the study of ocean biology. Course meetings consist of approximately 75 percent lectures by instructor and 25 percent student presentations and discussions of selected papers. Renumbered from SIO 237C. Students will not receive credit for SIOC 237C and SIO 237C. Recommended preparation: basic physics and biology. (Letter grades only.)",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+237C
SIOC 241,SIOC,Advanced Signal Processing for Structural Vibrations and Acoustics,4,"Review basic fluid and elastic wave propagation in infinite and finite media. Introduce signal and array-processing methods for localization, medium inversion, and nondestructive testing based on the underwater, seismic, and radar literature. Renumbered from SIO 241, students will not receive credit for SIOC 241 and SIO 241. Recommended preparation: calculus through differential equations, linear algebra; MATLAB experience strongly desired.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+241
SIOC 250,SIOC,Advanced Atmospheric Dynamics,4,"Advanced topics in atmospheric dynamics not covered in the SIO 217 sequence, including baroclinic instability, mechanisms driving the general circulation of the troposphere and stratosphere, tropical waves, hurricanes and mesoscale phenomena, teleconnections, and spatially coherent patterns of variability.",SIOC 212A or SIO 212A or SIOC 217B or SIO 217B or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+250
SIOC 251,SIOC,Radiation in the Atmosphere,4,"This graduate-level core course in radiation provides an introduction to basic laws, radiative transfer under clear sky conditions, scattering by individual particles, multiple scattering, radiative properties of clouds and aerosols, the global energy budget, and applications to satellite meteorology.",graduate standing or consent of instructor. (Letter grades only.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+251
SIOC 254,SIOC,Science of Climate Change,4,"This course will provide the scientific basis for understanding climate change. The focus will be on the twentieth century and understanding the various natural and anthropogenic factors and feedback processes that are contributing to the observed climate changes, including extreme events. The students will develop a climate model and explore ways to slow down future changes.",SIOC 217A or SIO 217A or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+254
SIOC 261,SIOC,Nearshore Physical Oceanography,4,"This course will cover the basic physics of the nearshore region spanning the surf zone to the inner shelf. Topics covered will include wave shoaling, shoaling and breaking, radiation stress and vortex force formalisms, wave setup, wave driven currents in the surf zone and inner shelf, undertow, infragravity waves, basics of sediment transport, and transport and mixing.",SIOC 202A or SIOC 211A or SIOC 214A or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+261
SIOC 267,SIOC,Biogeochemistry,4,Examines quantitatively the impact of the biota on the chemistry of the atmosphere and ocean. Emphasis given to isotopes as tracers of biogeochemical processes. Attention given to paleoclimatic and paleoatmospheric data from ice cores to reveal mechanisms.,graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+267
SIOC 292,SIOC,Introduction to Climate Science and Policy,4,"This course explores the interaction between climate science, policy, and the larger culture. (S/U grades permitted).",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOC+292
SIOG 200A,SIOG,Geophysics Research Skills I—Effective Writing,2,"This course covers basic writing techniques, including discussion of strategies for effective writing and analysis of written materials. Writing techniques for scientific papers and proposals will be covered. Students will be expected to do a writing sample in the form of an abstract or fellowship proposal.",graduate standing or consent of instructor. (S/U grades only.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+200A
SIOG 200B,SIOG,Geophysics Research Skills II—Effective Presentation Techniques,2,"This course reviews basic oral presentation skills (with and without slides), including overall structure of a presentation, how to prepare and how to deliver an effective talk. The course also covers effective figure design and color schemes.",graduate standing or consent of instructor. (S/U grades only.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+200B
SIOG 200C,SIOG,"Geophysics Research Skills III—Reading, Understanding, and Synthesis",2,"In this course, students will read classic and recent papers revolving around two scientific themes. The context and presentation style of the papers are discussed and analyzed. Students will be expected to write short summaries of the papers.",graduate standing or consent of instructor. (S/U grades only.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+200C
SIOG 221,SIOG,Plate Tectonics in Practice,4,"This course builds upon classic concepts in plate tectonics with an emphasis on practical implementation of tools that are applicable to a wide range of earth science problems. Topics include plate reconstructions, quantitative seafloor analysis, potential field methods, and earthquake data analysis. Includes an introduction to shell scripting, the Generic Mapping Tools (GMT), and LaTeX.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+221
SIOG 222,SIOG,Introduction to Industry Reflection Seismic Methods,4,"Seismic methods history; land and marine seismic sources and receivers; seismic wave types; basics of reflection data processing and imaging; vertical seismic profiling; well logs, 1-D synthetics, seismic-well ties; reflection data facies and fluids interpretation in geological settings; emerging reflection seismic methods.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+222
SIOG 223A,SIOG,Geophysical Data Analysis I,4,"Probability and statistics and their application to make inferences from geophysical data: point processes, distributions, maximum likelihood estimation, hypothesis testing and confidence intervals, least squares, density estimation, interpolation and smoothing.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+223A
SIOG 223B,SIOG,Geophysical Data Analysis II,4,"Analysis of geophysical measurements, especially time series, Fourier theory digital signal processing, and spectral analysis.",graduate standing and SIOG 223A or SIO 223A or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+223B
SIOG 224,SIOG,Internal Constitution of the Earth,4,"An examination of current knowledge about the composition and state of the Earth’s interior revealed by geophysical observations. Seismic velocity and mass density distributions; equations of state; phase changes; energy balance and temperatures; constraints on composition from extraterrestrial samples and exposed rocks; spherical and aspherical variations of properties. Recommended preparation: calculus and differential equations, basic chemistry and physics.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+224
SIOG 225,SIOG,Physics of Earth Materials,4,"Mathematics and physics of continuous media, focusing on geophysical problems. Topics include deformation, stress, conservation laws, elasticity, attenuation, viscoelasticity, fracture mechanics, and porous media.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+225
SIOG 227A,SIOG,Introduction to Seismology,4,Introduction to seismometers and seismograms; stress and strain; potentials and the wave equation; geometrical ray theory and travel times in layered media; representation of seismic sources; WKBJ and synthetic seismograms; seismic hazards and other applications of seismology.,graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+227A
SIOG 227B,SIOG,Advanced Seismology I,4,Introduction to low-frequency digital data; continuum mechanics and the equations of motion; free oscillation solutions; construction of Earth models; excitation of free-oscillations and source mechanism retrieval; array processing of long-period data; modelling aspherical structure; surface waves.,SIOG 227A or SIO 227A or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+227B
SIOG 227C,SIOG,Advanced Seismology II,4,"High-frequency wave propagation; methods for computing synthetic seismograms, including WKBJ, reflectivity and finite differences; body-wave spectra; attenuation of body waves; source physics; reflection and refraction seismology; seismic tomography.",SIOG 227A or SIO 227A and SIOG 227B or SIO 227B or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+227C
SIOG 229,SIOG,Fundamentals of Gravity and Geodesy,4,"Introduction to potential theory with applications to gravity and geodesy. Topics include the geoid, spherical harmonics, Laplace’s equation, the Dirichlet problem on a sphere. Coordinate systems, reference ellipsoids and tides are discussed, together with geodetic underpinnings of GPS/GNSS, and absolute and relative observations of Earth surface deformation.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+229
SIOG 230,SIOG,Introduction to Inverse Theory,4,"Solution of linear and nonlinear inverse problems in geophysics by optimization techniques such as norm minimization and linear programming. Construction of models by regularization; inference by bounding functionals. Illustrations from gravity, geomagnetism, and seismology.",graduate standing or consent of instructor. (S/U grades permitted.) C. Constable,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+230
SIOG 231,SIOG,Geomagnetism and Electromagnetism,4,"Observations of Earth’s internal and external magnetic fields are used to study the core geodynamo and to image the electrical conductivity structure of the crust and mantle. This course will cover the theory of geomagnetism and electromagnetic induction, instrumentation, forward and inverse modeling of geomagnetic and electromagnetic data, properties of Earth materials, and applications. Renumbered from SIO 231. Students will not receive credit for both SIOG 231 and SIO 231.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+231
SIOG 232,SIOG,Ethical and Professional Science,2,"Review and group discussion of professional behavior and survival skills in the earth and ocean sciences, including ethics, data management, plagiarism, authorships, preparing proposals, public speaking, conflict of interest, working with industry.",graduate standing or consent of instructor. (S/U grades only.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+232
SIOG 233,SIOG,Introduction to Computing at SIO,4,"Introduction to the SIO computing environment and common software tools in geophysics and other disciplines. Topics include UNIX, MATLAB, Postscript, GMT, LaTex, HTML, and a scientific programming language such as C or Fortran90.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+233
SIOG 234,SIOG,Geodynamics,4,"A general course on the dynamics and kinematics of the solid earth based on the text of Turcotte and Schubert. Topics include plate tectonics, heat flow, lithospheric cooling, flexure, viscous flow, gravity, crustal dynamics, and other related topics.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+234
SIOG 235,SIOG,Computational Inverse Problems,4,"This course covers computational methods for the solution of geophysical inverse problems and time-dependent data assimilation problems. Topics to be covered include numerical optimization, Markov chain Monte Carlo, sequential importance sampling, Kalman and ensemble Kalman filtering, particle filters, and cycling variational methods. All numerical methods we cover find application in earth science, but this course focuses on the numerical and computational methods, not the physics. Recommended preparation: a foundational understanding of linear algebra, basic data fitting, and random variables, as well as some coding experience.","MAE 294A or SIOC 203A or SIOG 223A or SIOG 230, or consent of instructor. (S/U grades permitted.)",Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+235
SIOG 237,SIOG,Space Geodesy,2,This course covers topics in space geodesy related to the recovery and interpretation of crustal deformation measured by the Global Positioning System (GPS) as well as Interferometric Synthetic Aperture Radar (InSAR). The topics rotate yearly depending on the needs of the mostly geophysics graduate students. The course involves weekly meetings and discussions of papers. Students are also encouraged to participate in optional field trips to perform geodetic surveys.,graduate standing or consent of instructor. (S/U grades only),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+237
SIOG 238,SIOG,Numerical Methods for Partial Differential Equations,4,"The course will discuss main numerical methods used to solve boundary and initial value problems involving partial differential equations, such as finite differences, finite elements, and boundary elements. The emphasis will be on practical implementation of the commonly used tools and algorithms. Examples from geophysical applications will be provided. Recommended preparation: calculus and linear algebra.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+238
SIOG 239,SIOG,Special Topics in Geophysics,1–4,"Special course offerings by staff and visiting scientists. Example topics are seismic source theory, geophysical prospecting methods, dislocation theory and seismic mechanisms, tectonic interpretation of geodetic data, and dynamo theory. Renumbered from SIO 239; students will not receive credit for SIOG 239 and SIO 239. SIOG 239 may be taken for credit up to six times. (S/U grades permitted.)",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+239
SIOG 240,SIOG,Marine Geology,4,"Introduction to the geomorphology, sedimentation, stratigraphy, volcanism, structural geology, tectonics, and geological history of the oceans.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+240
SIOG 241,SIOG,Geological Field Methods for Geophysicists,1,"This course is intended for precandidacy geophysics students who have little practical geological experience. We will learn to use: Brunton compasses, GPS, topographic and geological maps and airphotos, and proper note-taking habits. We will explore the geology of Fossil Canyon (near Ocotillo), learn to determine age relationships and how to read the rock record for clues about the geological history of the area, including the opening of the Gulf of California.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+241
SIOG 242,SIOG,Rates and Dates: Applications of Modern Geochronology Methods,4,"This course is designed to give students an understanding of the science behind numerical dating techniques in geological, archaeological, and environmental science contexts. This course will provide a background in the physics of radioactive decay and natural radiation sources and the geochemistry necessary for measurement that are critical to radiometric dating methods, and nonradiometric alternatives.",graduate standing.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+242
SIOG 243,SIOG,Material Characterization,4,"Survey course in materials characterization geared in the earth, environmental, planetary, oceanographic, and biological sciences. Emphasis placed on surface analysis techniques. The course will introduce theoretical framework for spectroscopy, diffraction, and imaging methods used in structural and compositional characterization of materials. Techniques covered include SEM, TEM, IR, and Raman spectroscopy, laser ablation ICP-MS, etc. A term project will incorporate hands-on experience using SEM.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+243
SIOG 244,SIOG,Shape and Structure of the Ocean Floor,4,"Description and explanation of the structural geomorphology of oceanic crust, and of the tectonic and volcanic processes responsible for it. Description and interpretation of deep-sea sedimentary landforms (e.g., deep-sea fans, drifts, bedforms) and of the bottom currents that shape them. Offered in alternate years.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+244
SIOG 246,SIOG,Global Tectonics and Basin Formation,4,"Plate tectonics of the crust and upper mantle, examining a variety of environments from ridge crests to continental margins, including plate interiors, with an emphasis on basin formation in these tectonic settings.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+246
SIOG 247,SIOG,Rock Magnetism and Paleomagnetism,4,Rock magnetism and acquisition of magnetic remanence in geological materials as well as laboratory procedures and data analysis (isolating remanence components and statistical approaches). The paleomagnetic literature will be used to illustrate applications in geological and geophysical problems. Recommended preparation: one year each of college-level physics and geology; mathematics through calculus.,graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+247
SIOG 249,SIOG,Special Topics in Marine Geology,1–4,"Special course offerings by faculty, staff, and visiting scientists.",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+249
SIOG 251,SIOG,Whole Earth Geochemistry,4,"A geochemical overview of Earth materials and chemical processes involved in the Earth’s evolution. Topics include formation and differentiation of the Earth, linkages between the solid Earth and the atmosphere/ hydrosphere, and isotope and trace element composition of igneous and metamorphic rocks. Graduate students, additionally, must submit a term paper in one aspect of work discussed during the quarter to be presented orally in class.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+251
SIOG 252B,SIOG,Advanced Isotope Geochemistry I,4,An advanced treatment of noble gas and stable isotope geochemistry. Offered in alternate years with SIO 252C.,SIOG 252A or SIO 252A.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+252B
SIOG 252C,SIOG,Advanced Isotope Geochemistry II,4,An advanced treatment of radiogenic and cosmogenic isotope geochemistry. Offered in alternate years with SIO 252B.,SIOG 252A or SIO 252A and SIOG 252B or SIO 252B.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+252C
SIOG 253,SIOG,Interactions of Oceanic Plates and the California Margin,4,"How the geology of Alta and Baja California has been shaped, especially in the past 30MYR, by changing patterns of ocean plates and microplates that have subducted beneath the North American Margin, slid obliquely past it, and captured continental crust.","graduate standing, or consent of instructor.",Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+253
SIOG 255A,SIOG,Topics in Paleobiology and History of Life,3,"Lecture topics on the major transitions in the evolutionary history of life, including origin of metabolisms, microbes, major eukaryote radiations, ecosystems, and societies.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+255A
SIOG 257,SIOG,Seminar in Petrology,4,Discussion of current research in petrology and mineralogy. (S/U grades permitted.),none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+257
SIOG 260,SIOG,Marine Chemistry,4,"Chemical description of the sea; the distribution of chemical species in the world oceans, and their relationships to physical, biological, and geological processes.",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+260
SIOG 261,SIOG,Introduction to Rheology of Solid Earth,4,"This course provides a framework for understanding the intrinsic properties of rocks (mineralogy, diffusion, deformation). It explores fundamental aspects of geological processes with an emphasis on the interpretation of geophysical data. The course focuses on micro-, rock-, and planet-scale mechanisms.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+261
SIOG 263,SIOG,Aqueous Chemistry,4,"This course emphasizes the chemical principles that control basic aqueous chemistry in marine systems. The focus will be to show that the geochemistry of the various elements in sea water and biological systems can be understood as a consequence of basic general chemical concepts such as electron structure, chemical bonding, and group and periodic properties. Recommended preparation: undergraduate chemistry equivalent to UC San Diego CHEM 6 sequence.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+263
SIOG 264,SIOG,Ocean Acidification,4,"This course covers the fundamentals of ocean acidification including the chemical background, past and future changes in ocean chemistry, biological and biogeochemical consequences including organism and ecosystem function, biodiversity, biomineralization, carbon dissolution, and the cycling of carbon and nitrogen in the oceans. May be coscheduled with SIO 143.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+264
SIOG 267,SIOG,Marine Chemistry Laboratory,4,"Applies modern and classic techniques for analysis of seawater chemistry, introducing concepts of signal transduction, calibration, and measurement quality control, instrument communications, data processing.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+267
SIOG 268,SIOG,Seminar in Geochemistry and Marine Chemistry,2,Student seminars on topics related to geochemistry and the chemistry of the marine environment. (S/U grades only.),none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+268
SIOG 269,SIOG,Special Topics in Marine Chemistry,1–4,Special course offerings by staff and visiting scientists. Renumbered from SIO 269. May be taken for credit up to six times. Students may receive a combined total of twenty-four units for SIOG 269 and SIO 269. (S/U grades permitted.),none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+269
SIOG 270,SIOG,The Archaeology of Climate Change—Social Adaptation and Vulnerability in Temporal Perspective,4,"(Cross-listed with ANTH 270.) This seminar studies the dynamics of climate change and human responses through time. Topics include research methods in socioecodynamics, human responses to change in different sociopolitical and economic contexts, and lessons from the past that can inform the present. Students may not receive credit for ANTH 270 and SIOG 270.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+270
SIOG 275,SIOG,Paleoethnobotany,6,"(Cross-listed with ANTH 275.) This course provides an introduction to the fundamentals of practicing archaeobotany. How do archaeobotanists identify ancient plant remains in sites and how can we use this information to understand human subsistence and forestry regimes, animal feeding patterns, and climate change? Program or materials fees may apply. Students may not receive credit for ANTH 275 and SIOG 275.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+275
SIOG 288,SIOG,Communicating Environmental Science,4,"Students will gain essential skills communicating their research with scientific and general audiences using evidence-based strategies. The course includes a combination of traditional lectures and engaged learning activities involving the analysis of published communication products, original writing assignments, student presentations, group activities, and discussion. This class will culminate in a final project. (S/U grades permitted.)",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOG+288
SIOB 218,SIOB,Ocean Law and Policy,4,"This course provides an overview of key laws and policies governing US and international ocean and coastal waters, examines timely case studies of policies in practice, brings a variety of perspectives to illustrate complexities of policy making, and combines lectures with student presentations and in-class exercises. Reading materials are assigned, including statutes, case law, media publications, and law review articles. Students will develop critical thinking, writing, and public speaking skills.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+218
SIOB 242A,SIOB,Marine Biotechnology I: Tools and Methods,4,"The course will explore cutting-edge techniques as it applies to genomics, transcriptomics, proteomics, metabolomics, and the bioinformatics needed to analyze such data sets. Next generation sequencing, state-of-the-art mass spectrometry, and NMR techniques and bioinformatic challenges. Students may not receive credit for SIO 242A and SIO 242.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+242A
SIOB 242B,SIOB,Marine Biotechnology II: Applications,4,"This course will explore the diverse biotechnological applications of marine science. Topics will include natural product drug discovery, biomaterials, nanotechnology, synthetic biology, aquaculture, and extremophiles. Students may not receive credit for SIO 242B and SIO 242.",SIOB 242A or SIO 242A or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+242B
SIOB 242C,SIOB,Marine Biotechnology III: Introduction to Bioinformatics,4,"Introduction to Unix commands and scripting techniques required for command line interaction with open source bioinformatics tools, including installation, configuration, and use for genome and transcriptome sequencing and assembly, gene expression analysis, and DNA- and RNA-binding protein binding site identification through ChIPseq. Emphasis is on how the bioinformatics tools work, how to use them, and their application to DNA and RNA data sets. Recommended preparation: prior programming skills will help the student gain more from the course. Students may not receive credit for SIO 242C if they have previously taken SIO 242.",SIOB 242A or SIO 242A and SIOB 242B or SIO 242B or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+242C
SIOB 243,SIOB,Ecological and Medicinal Aspects of Natural Products,2,"This course will provide the foundation of the natural products sciences, including ethnobotanical uses of plants, ecological interactions and contemporary drug screening programs, and will increase awareness of the pervasiveness of natural products in pharmaceutical and other commercial products. Students may not receive credit for SPPS 281 and SIOB 243.",none,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+243
SIOB 262,SIOB,Marine Chemical Biology Seminar,2,"Students will give seminars on current research topics that span the interface of marine chemistry and marine biology. Topics will include natural products chemistry, biotechnology, biogeochemistry, and biochemistry relating to marine systems. May be taken for credit eighteen times.",graduate standing or consent of instructor. (S/U grades only.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+262
SIOB 264,SIOB,Special Topics in Marine Natural Products Chemistry,4,"This course provides the foundation for advanced study in the field of marine natural products chemistry. Topics vary from the history of natural products to the organic chemistry of terpenes, alkaloids, acetogenins, and other natural product classes. Varying by topic quarterly, this class is given each quarter and may be repeated.",one-year general organic chemistry. (S/U grades only.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+264
SIOB 265,SIOB,Marine Chemical Ecology,4,"Chemistry is the language by which most marine organisms communicate with each other and the environment. While we have yet to learn how to interpret much of this dialogue, it has become clear that natural products play pivotal roles in virtually every biotic process and interaction in the ocean. This course will broadly address the topic of marine chemical ecology, both at the macro-organism and microbiological scales.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+265
SIOB 269,SIOB,Interdisciplinary Forum for Environmental Research,2,This course provides students from diverse disciplines with a common language to address problems related to the environment and conservation. The purpose is to promote collaboration and communications across departments and the course is open to all graduate students. Students who take the course for credit are expected to serve in the coordinating group to invite speakers and promote events across campus. May be taken for credit up to three times.,graduate standing or consent of instructor. (S/U grades only.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+269
SIOB 270,SIOB,Pelagic Ecology,4,An analysis of the concepts and theories used to explain the biological events observed in the water column. Alternate years.,SIOC 210 or SIO 210 and SIOB 280 or SIO 280 or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+270
SIOB 270A,SIOB,Fisheries Oceanography,4,"Aspects of marine ecology relevant to the reproduction, survival, and distribution of commercially important marine species. Alternate years only.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+270A
SIOB 271,SIOB,Marine Zooplankton,5,"Lectures and laboratories treating the morphological, behavioral, and life history variations of the principal phyla of planktonic invertebrates and heterotrophic protists. Constraints of life at low Reynolds numbers; principles of allometry; growth processes of heterotrophic organisms.",graduate standing or consent of instructor. (S/U grades permitted.),Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+271
SIOB 272,SIOB,Advanced Statistical Techniques,4,"An interactive overview of statistical methods, focusing on approaches common within the life sciences. Emphasis on the conceptual and logical basis of statistical methods. Topics include treatment of controlled experimental data through to model fitting and exploration of observational data. Recommended preparation: SIO 187, BIEB 100, or equivalent introductory statistics/ biostatistics course.",graduate standing or consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+272
SIOB 273,SIOB,Professional Ethics in Science,2–4,"A seminar on the historical and contemporary ethics and ethos of scientific research, based on published documents. Given in alternate years.",graduate standing and consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+273
SIOB 274,SIOB,Natural History Below the Tides,6,Exposure to local underwater habitats by scuba with basic material to comply with AAUS certification. Lectures and shore dives in local coastal habitats (protected bay and outer coast sites). Aids students in diving research by providing experience with SIO scientists.,department stamp required. Students must qualify to take the SIO dive course. This includes a physical exam as well as swimming and diving proficiency.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=SIOB+274
